ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
10500108.0 23.2 23.86 2160563380.28 0.277676769314 1.19807023618 FrodoSam 299 277 Hall&Oates
10500627.0 42.83 40.84 16619718309.9 0.110001478773 0.881355010894 FrodoSam 299 277 Hall&Oates
10500900.0 22.0 28.71 1759154929.58 0.0844442501457 0.91173590031 FrodoSam 299 277 Hall&Oates
10500957.0 24.32 27.17 3201408450.7 0.0643047091273 0.932893571949 FrodoSam 299 277 Hall&Oates
10501279.0 10.12 32.84 2167605633.8 0.0833766581816 1.00014165878 FrodoSam 299 277 Hall&Oates
10501513.0 36.43 36.02 4723943661.97 0.0292319829573 0.973544974155 FrodoSam 299 277 Hall&Oates
10501840.0 16.25 20.97 1585915492.96 0.143426031745 1.02679915826 FrodoSam 299 277 Hall&Oates
10502004.0 23.62 31.91 3694366197.18 0.250962793548 1.14228042005 FrodoSam 299 277 Hall&Oates
10502021.0 17.56 29.26 1983098591.55 0.0215221683252 0.96846222709 FrodoSam 299 277 Hall&Oates
10502465.0 18.03 28.98 2766197183.1 0.0827158828661 0.979973031988 FrodoSam 299 277 Hall&Oates
10502498.0 23.63 30.16 2445070422.54 0.138109492427 1.08146058395 FrodoSam 299 277 Hall&Oates
10502542.0 35.53 46.27 9430985915.49 0.290480409802 1.21630654581 FrodoSam 299 277 Hall&Oates
10502640.0 18.27 22.4 1311830985.92 0.141902097646 1.0688328316 FrodoSam 299 277 Hall&Oates
10502648.0 22.36 29.7 2236619718.31 0.225249252053 1.11853867785 FrodoSam 299 277 Hall&Oates
10502862.0 8.71 26.82 1560563380.28 0.0771148742371 0.950388126584 FrodoSam 299 277 Hall&Oates
10502931.0 19.23 29.7 2974647887.32 0.296458291414 1.18585821832 FrodoSam 299 277 Hall&Oates
10503023.0 14.93 23.76 1443661971.83 0.20135313778 0.994579590277 FrodoSam 299 277 Hall&Oates
10503024.0 13.01 25.65 1414084507.04 0.105713624302 0.91341684866 FrodoSam 299 277 Hall&Oates
10503073.0 12.35 25.13 1576056338.03 0.089213630187 1.00152426323 FrodoSam 299 277 Hall&Oates
10503201.0 31.56 31.55 5288732394.37 0.117302371924 0.912920570945 FrodoSam 299 277 Hall&Oates
10503241.0 44.83 59.84 30225352112.7 0.213934959813 0.924671422954 FrodoSam 299 277 Hall&Oates
10503248.0 17.46 26.09 1847887323.94 0.129812422467 0.910786392088 FrodoSam 299 277 Hall&Oates
10503322.0 16.33 28.87 2388732394.37 0.0899610012708 1.02570407962 FrodoSam 299 277 Hall&Oates
10503328.0 12.22 26.32 1314225352.11 0.121111045492 1.07655863185 FrodoSam 299 277 Hall&Oates
10503333.0 22.96 28.75 2653521126.76 0.252665451518 1.18835483541 FrodoSam 299 277 Hall&Oates
10503803.0 24.78 36.09 2632394366.2 0.135791455479 1.06005221189 FrodoSam 299 277 Hall&Oates
10503925.0 18.19 23.39 1767605633.8 0.175444059835 1.06660435682 FrodoSam 299 277 Hall&Oates
10503975.0 31.98 44.78 14267605633.8 0.248063147073 1.02231399559 FrodoSam 299 277 Hall&Oates
10504000.0 20.15 23.34 1619718309.86 0.222574252682 1.06953597868 FrodoSam 299 277 Hall&Oates
10504102.0 16.92 35.26 3432394366.2 0.0674788879384 0.931263944549 FrodoSam 299 277 Hall&Oates
10504223.0 22.64 24.15 1628169014.08 0.276371516327 0.798201288501 FrodoSam 299 277 Hall&Oates
10504250.0 23.84 29.43 4135211267.61 0.161351970675 0.859104698832 FrodoSam 299 277 Hall&Oates
10504278.0 15.55 19.78 1399859154.93 0.270137542755 1.02476119668 FrodoSam 299 277 Hall&Oates
10504558.0 17.45 29.23 3215492957.75 0.0963355221649 0.926889481701 FrodoSam 299 277 Hall&Oates
10504737.0 18.05 22.45 1515492957.75 0.177229775643 1.15265321439 FrodoSam 299 277 Hall&Oates
10504754.0 16.08 24.64 1477464788.73 0.166921083407 1.13758878249 FrodoSam 299 277 Hall&Oates
10504783.0 16.75 26.66 2714084507.04 0.0930204611322 1.06962646686 FrodoSam 299 277 Hall&Oates
10504792.0 15.87 26.46 2394366197.18 0.102946128514 0.921130893086 FrodoSam 299 277 Hall&Oates
10504796.0 16.92 22.54 1670422535.21 0.130094384579 0.923078910207 FrodoSam 299 277 Hall&Oates
10505259.0 22.6 61.67 24352112676.1 0.985265730959 0.244206080189 FrodoSam 299 277 Hall&Oates
10505401.0 25.8 26.08 4195774647.89 1.13612791095 0.211772225986 FrodoSam 299 277 Hall&Oates
10505798.0 21.97 29.78 3708450704.23 1.0269850596 0.065136283053 FrodoSam 299 277 Hall&Oates
10505960.0 27.03 36.11 4092957746.48 0.908703491961 0.0882508439958 FrodoSam 299 277 Hall&Oates
10506009.0 22.91 25.48 2322535211.27 0.985538752667 0.139749127678 FrodoSam 299 277 Hall&Oates
10506291.0 39.06 40.44 10874647887.3 1.15944347315 0.181817709337 FrodoSam 299 277 Hall&Oates
