ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
80181361.0 37.78 37.78 9953521126.76 0.32751428431 0.691905255482 HodorBran 346 306 Scylla&Charybdis
80182758.0 46.95 54.85 28464788732.4 0.300899578659 0.456824881575 HodorBran 346 306 Scylla&Charybdis
80183213.0 40.44 39.06 9947887323.94 0.439540504378 0.268163296631 HodorBran 346 306 Scylla&Charybdis
80177222.0 45.31 53.05 12283098591.5 0.139146792971 0.798714557186 HodorBran 346 306 Scylla&Charybdis
80179323.0 38.88 41.67 6702816901.41 0.174742682701 0.724123566455 HodorBran 346 306 Scylla&Charybdis
80175824.0 46.23 45.26 9152112676.06 0.0494308009898 0.700822291844 HodorBran 346 306 Scylla&Charybdis
80179729.0 31.89 36.69 5966197183.1 0.326739122961 0.818412856964 HodorBran 346 306 Scylla&Charybdis
80179361.0 40.4 67.23 23000000000.0 0.101745404592 0.735649095391 HodorBran 346 306 Scylla&Charybdis
80182750.0 37.16 51.51 14394366197.2 0.165321573829 0.568590427453 HodorBran 346 306 Scylla&Charybdis
80177474.0 31.37 32.51 4200000000.0 0.139386756627 0.570478968518 HodorBran 346 306 Scylla&Charybdis
80183076.0 29.79 32.28 4673239436.62 0.889963485629 0.28355158873 HodorBran 346 306 Scylla&Charybdis
80183034.0 35.08 37.45 5342253521.13 0.636169931161 0.247489659023 HodorBran 346 306 Scylla&Charybdis
80173685.0 25.1 25.22 2605633802.82 0.287482421774 0.965436302567 HodorBran 346 306 Scylla&Charybdis
80180564.0 34.35 45.48 8950704225.35 0.101981809293 0.750704841054 HodorBran 346 306 Scylla&Charybdis
80177463.0 35.46 48.69 7019718309.86 0.180541319432 0.60530227431 HodorBran 346 306 Scylla&Charybdis
80303868.0 29.4 30.96 3436619718.31 0.821616056113 0.139107791241 HodorBran 346 306 Scylla&Charybdis
80178588.0 27.64 28.07 2385915492.96 0.300709201397 0.539440364235 HodorBran 346 306 Scylla&Charybdis
80176139.0 31.0 34.11 3518309859.15 0.236871088395 0.904717193688 HodorBran 346 306 Scylla&Charybdis
80178877.0 26.03 27.26 2239436619.72 0.27317328588 0.849963477167 HodorBran 346 306 Scylla&Charybdis
80183089.0 30.08 32.88 2898591549.3 0.68927094371 0.108103649925 HodorBran 346 306 Scylla&Charybdis
80303912.0 30.01 39.64 4526760563.38 0.976523655886 0.274656035271 HodorBran 346 306 Scylla&Charybdis
80304205.0 31.92 60.51 25098591549.3 0.751561417697 0.065662740704 HodorBran 346 306 Scylla&Charybdis
80174139.0 21.78 21.67 1539436619.72 0.298360913119 0.849817198916 HodorBran 346 306 Scylla&Charybdis
80182781.0 28.1 32.92 2998591549.3 0.642092575584 0.215978146143 HodorBran 346 306 Scylla&Charybdis
80304135.0 31.53 48.62 10261971831.0 0.787447572873 0.0920075486583 HodorBran 346 306 Scylla&Charybdis
80177653.0 27.33 33.1 4192957746.48 0.266195304412 0.675573206037 HodorBran 346 306 Scylla&Charybdis
80177826.0 26.09 27.74 2533802816.9 0.170166542691 0.850739020252 HodorBran 346 306 Scylla&Charybdis
80173242.0 26.82 32.13 3732394366.2 0.203642035823 0.796537440718 HodorBran 346 306 Scylla&Charybdis
80175796.0 23.67 25.08 2476056338.03 0.344122538586 0.943967553844 HodorBran 346 306 Scylla&Charybdis
