ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
20827297.0 20.05 25.47 1742253521.13 0.20629308216 0.849095325305 JerryTom 266 338 Kek&Kauket
20827497.0 26.21 33.43 4459154929.58 0.232916925507 0.843910849157 JerryTom 266 338 Kek&Kauket
20827579.0 39.57 44.88 19478873239.4 0.264589417793 1.00760653687 JerryTom 266 338 Kek&Kauket
20828292.0 23.56 24.14 1908450704.23 0.26332831942 1.24912067218 JerryTom 266 338 Kek&Kauket
20828489.0 35.36 37.7 7459154929.58 0.143842081933 1.18313210222 JerryTom 266 338 Kek&Kauket
20829253.0 32.51 39.34 6147887323.94 0.193530992327 0.931073586569 JerryTom 266 338 Kek&Kauket
20829818.0 32.87 42.31 6890140845.07 0.0568604667239 1.08818192915 JerryTom 266 338 Kek&Kauket
20830038.0 33.59 39.38 7581690140.85 0.205209395624 1.18279249972 JerryTom 266 338 Kek&Kauket
20830105.0 25.43 31.24 2669014084.51 0.183543456858 1.18385733258 JerryTom 266 338 Kek&Kauket
20830238.0 18.71 28.48 2683098591.55 0.173229570886 1.15372983726 JerryTom 266 338 Kek&Kauket
20830444.0 23.39 23.91 1876056338.03 0.219526001522 0.890318685324 JerryTom 266 338 Kek&Kauket
20830520.0 37.01 46.49 14126760563.4 0.152242668113 1.12398657345 JerryTom 266 338 Kek&Kauket
20831050.0 25.05 29.09 2397183098.59 0.136719140533 1.01234659708 JerryTom 266 338 Kek&Kauket
20831098.0 18.42 22.07 1492957746.48 0.102928772825 1.07204106259 JerryTom 266 338 Kek&Kauket
20831211.0 27.93 34.38 3739436619.72 0.109762717694 0.946370353542 JerryTom 266 338 Kek&Kauket
20831228.0 20.81 24.59 1352816901.41 0.131928002402 1.01810369916 JerryTom 266 338 Kek&Kauket
20831241.0 19.4 25.96 2673239436.62 0.225365517647 1.01753127259 JerryTom 266 338 Kek&Kauket
20831251.0 18.74 26.03 1708450704.23 0.0412851114146 1.03509391028 JerryTom 266 338 Kek&Kauket
20831303.0 22.48 26.61 1583098591.55 0.139887874163 0.988941037133 JerryTom 266 338 Kek&Kauket
20832194.0 25.37 36.64 3880281690.14 0.998924887351 0.0862415298331 JerryTom 266 338 Kek&Kauket
20832545.0 20.2 20.26 1373802816.9 1.05598033568 0.224603638187 JerryTom 266 338 Kek&Kauket
20832554.0 26.82 27.2 2957746478.87 1.09830285589 0.221015970272 JerryTom 266 338 Kek&Kauket
20832630.0 20.9 21.42 1514084507.04 1.12696824494 0.17656038831 JerryTom 266 338 Kek&Kauket
20832688.0 17.21 35.84 3016901408.45 1.21366383181 0.191190756513 JerryTom 266 338 Kek&Kauket
20833068.0 17.6 19.64 1297746478.87 1.23167732194 0.267795833446 JerryTom 266 338 Kek&Kauket
20833385.0 21.85 36.17 3733802816.9 0.976853278701 0.068472827237 JerryTom 266 338 Kek&Kauket
20833387.0 25.75 31.36 2870422535.21 1.08955439598 0.140099466607 JerryTom 266 338 Kek&Kauket
20833398.0 18.78 27.92 1901408450.7 1.06400763007 0.0563966420444 JerryTom 266 338 Kek&Kauket
20833425.0 31.06 44.89 13452112676.1 1.0723015268 0.0950342393325 JerryTom 266 338 Kek&Kauket
20833515.0 16.31 25.96 1583098591.55 1.13433707936 0.129102573596 JerryTom 266 338 Kek&Kauket
20833731.0 27.83 23.18 2026760563.38 1.08082497687 0.0487916984266 JerryTom 266 338 Kek&Kauket
20833812.0 24.37 30.65 2680281690.14 1.22407415786 0.282049569633 JerryTom 266 338 Kek&Kauket
20834525.0 18.17 26.75 2771830985.92 1.18501229205 0.157690736504 JerryTom 266 338 Kek&Kauket
20834527.0 14.19 28.98 1853521126.76 1.09460553965 0.14205039046 JerryTom 266 338 Kek&Kauket
20834863.0 22.63 23.13 2860563380.28 1.06627413624 0.0387997468175 JerryTom 266 338 Kek&Kauket
20834866.0 27.89 32.32 8177464788.73 1.11003552568 0.102409632316 JerryTom 266 338 Kek&Kauket
20834970.0 29.68 29.54 4316901408.45 1.32649669552 0.30670965996 JerryTom 266 338 Kek&Kauket
20834990.0 38.07 38.95 12563380281.7 1.30048550881 0.321057934927 JerryTom 266 338 Kek&Kauket
20835125.0 23.7 28.75 2326760563.38 0.979483067616 0.267532819226 JerryTom 266 338 Kek&Kauket
20835275.0 32.78 36.79 7590140845.07 0.990441222744 0.278803383981 JerryTom 266 338 Kek&Kauket
20835287.0 19.5 25.31 2252112676.06 1.18971013175 0.200955662616 JerryTom 266 338 Kek&Kauket
20835293.0 19.73 29.52 3435211267.61 1.06190683806 0.034109538591 JerryTom 266 338 Kek&Kauket
20835885.0 27.29 27.63 5500000000.0 1.07690554335 0.065207431518 JerryTom 266 338 Kek&Kauket
20835897.0 27.15 28.14 7228169014.08 1.04275460109 0.0721877497643 JerryTom 266 338 Kek&Kauket
20835955.0 31.11 38.42 6704225352.11 1.09988334245 0.206484816797 JerryTom 266 338 Kek&Kauket
20836194.0 13.31 19.46 1311971830.99 1.15640194047 0.130945998007 JerryTom 266 338 Kek&Kauket
20836287.0 20.04 27.66 1338591549.3 0.9797246261 0.0733844542081 JerryTom 266 338 Kek&Kauket
20836786.0 32.29 36.36 7063380281.69 1.05633489051 0.295364511752 JerryTom 266 338 Kek&Kauket
20836850.0 19.41 28.17 1515492957.75 1.09812907248 0.0834825089449 JerryTom 266 338 Kek&Kauket
20836915.0 22.88 24.03 1635211267.61 0.95236253545 0.208248065285 JerryTom 266 338 Kek&Kauket
20837211.0 25.0 31.23 1994366197.18 0.966211622895 0.131647891091 JerryTom 266 338 Kek&Kauket
20837338.0 17.43 29.06 2474647887.32 0.948916018934 0.116095626982 JerryTom 266 338 Kek&Kauket
20837353.0 19.02 29.17 1861971830.99 1.04532519654 0.0801624392303 JerryTom 266 338 Kek&Kauket
