ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
52724249.0 36.22 36.37 7428169014.08 0.712101326043 0.13631991135 KobeShaq 295 368 Serena&Venus
52727907.0 66.06 71.79 56056338028.2 0.154492020403 0.736295193238 KobeShaq 295 368 Serena&Venus
52729451.0 40.28 41.94 10950704225.4 0.743704811106 0.110522368818 KobeShaq 295 368 Serena&Venus
52731695.0 32.23 39.03 5915492957.75 0.194879435157 0.70567731459 KobeShaq 295 368 Serena&Venus
52734273.0 24.48 32.6 5778873239.44 0.159012766496 0.668816760967 KobeShaq 295 368 Serena&Venus
52734420.0 43.59 59.64 20352112676.1 0.60397740308 0.236427956333 KobeShaq 295 368 Serena&Venus
52735463.0 37.48 40.85 8138028169.01 0.123962365746 0.647391423811 KobeShaq 295 368 Serena&Venus
52736149.0 43.31 43.26 13770422535.2 0.473502028504 0.281572746665 KobeShaq 295 368 Serena&Venus
52736883.0 36.64 37.4 9808450704.23 0.549571843952 0.338627377941 KobeShaq 295 368 Serena&Venus
52737506.0 39.92 52.65 10594366197.2 0.806959711877 0.292290551871 KobeShaq 295 368 Serena&Venus
52737574.0 49.43 50.43 25816901408.5 0.995015248114 0.365369442344 KobeShaq 295 368 Serena&Venus
52962805.0 34.53 38.19 6687323943.66 0.844365806952 0.211440546118 KobeShaq 295 368 Serena&Venus
52964081.0 36.56 44.13 14971830985.9 0.294480017418 0.533636411872 KobeShaq 295 368 Serena&Venus
52964151.0 46.79 47.59 21619718309.9 0.719693943112 0.138472022057 KobeShaq 295 368 Serena&Venus
