ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
14340086.0 51.86 62.36 26915492957.7 0.11068774113 0.673834246788 LincolnDouglas 356 287 Lincoln&Douglas
14342624.0 20.27 52.97 12495774647.9 0.0552792804714 0.748368653896 LincolnDouglas 356 287 Lincoln&Douglas
14342708.0 34.01 42.76 7305633802.82 0.159925990248 0.676635438742 LincolnDouglas 356 287 Lincoln&Douglas
14342744.0 26.36 40.97 9400000000.0 0.115464215764 0.803270853001 LincolnDouglas 356 287 Lincoln&Douglas
14343241.0 36.29 39.33 7167605633.8 0.138018276449 0.884218943616 LincolnDouglas 356 287 Lincoln&Douglas
14343590.0 22.83 35.97 6338028169.01 0.0763066798063 0.723874185574 LincolnDouglas 356 287 Lincoln&Douglas
14345224.0 24.36 44.13 7725352112.68 0.76202319592 0.0976925420453 LincolnDouglas 356 287 Lincoln&Douglas
14345995.0 23.9 62.56 23197183098.6 0.760666432638 0.120118711532 LincolnDouglas 356 287 Lincoln&Douglas
14346805.0 16.07 42.3 6356338028.17 0.813551916773 0.0893933376472 LincolnDouglas 356 287 Lincoln&Douglas
14347582.0 20.5 67.47 25140845070.4 0.860220694892 0.0998837024597 LincolnDouglas 356 287 Lincoln&Douglas
14347618.0 22.37 46.67 7938028169.01 0.873537468565 0.124494011013 LincolnDouglas 356 287 Lincoln&Douglas
14348756.0 34.6 36.57 6736619718.31 0.814655703652 0.124031490968 LincolnDouglas 356 287 Lincoln&Douglas
14349095.0 51.14 57.53 23943661971.8 0.130687742556 0.671921558102 LincolnDouglas 356 287 Lincoln&Douglas
