ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
18580257.0 49.72 53.1 21028169014.1 0.0521850924331 0.780488554213 PuffBiggie 276 369 Orion&Taurus
18581371.0 61.4 66.27 37098591549.3 0.0773727622387 0.799838676206 PuffBiggie 276 369 Orion&Taurus
18582382.0 36.18 41.45 8392957746.48 0.0948463682213 0.796726994017 PuffBiggie 276 369 Orion&Taurus
18583735.0 33.86 37.93 9447887323.94 0.827339053078 0.182318895692 PuffBiggie 276 369 Orion&Taurus
18587488.0 24.84 38.21 6512676056.34 0.852258551243 0.0559680403743 PuffBiggie 276 369 Orion&Taurus
18587492.0 30.65 35.27 7877464788.73 0.754101796537 0.117053222313 PuffBiggie 276 369 Orion&Taurus
18588436.0 38.61 61.99 34633802816.9 0.872650374466 0.0709692608453 PuffBiggie 276 369 Orion&Taurus
18590282.0 42.12 44.7 12915492957.7 0.878013031315 0.134574765047 PuffBiggie 276 369 Orion&Taurus
18590473.0 27.74 44.25 11632394366.2 0.788506742117 0.111383382447 PuffBiggie 276 369 Orion&Taurus
18591074.0 45.06 45.88 16408450704.2 0.967626343854 0.158837078219 PuffBiggie 276 369 Orion&Taurus
18593132.0 30.21 39.92 6470422535.21 0.83054602955 0.0581530909557 PuffBiggie 276 369 Orion&Taurus
18593184.0 23.24 40.2 7592957746.48 0.85920359779 0.104393184247 PuffBiggie 276 369 Orion&Taurus
