ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
13129171.0 23.61 25.17 1360140845.07 0.165767499577 1.0630400785 RomulusRemus 323 280 Romulus&Remus
13129497.0 21.7 21.85 2185915492.96 0.298686815456 0.802921159897 RomulusRemus 323 280 Romulus&Remus
13129627.0 21.31 29.05 1497183098.59 0.0478407582213 0.911701923298 RomulusRemus 323 280 Romulus&Remus
13129753.0 21.29 26.44 1794366197.18 0.0759590692567 0.989231093485 RomulusRemus 323 280 Romulus&Remus
13130028.0 34.28 39.95 5571830985.92 0.192548035263 0.948226071149 RomulusRemus 323 280 Romulus&Remus
13130155.0 22.3 24.04 1921126760.56 0.313036297047 1.06436547451 RomulusRemus 323 280 Romulus&Remus
13130212.0 26.85 32.03 4495774647.89 0.20889761048 0.753129472126 RomulusRemus 323 280 Romulus&Remus
13130516.0 24.93 32.28 2930985915.49 0.248377270694 0.92040348192 RomulusRemus 323 280 Romulus&Remus
13130527.0 25.0 31.38 4132394366.2 0.300863977752 0.818997947112 RomulusRemus 323 280 Romulus&Remus
13131435.0 29.34 32.08 3560563380.28 0.131233369168 1.05246565529 RomulusRemus 323 280 Romulus&Remus
13131773.0 19.07 29.08 2252112676.06 0.228477284364 0.931067078348 RomulusRemus 323 280 Romulus&Remus
13131849.0 54.47 62.79 31154929577.5 0.19993435592 1.1002684898 RomulusRemus 323 280 Romulus&Remus
13131866.0 24.39 31.87 2309859154.93 0.0724388598405 0.996952849701 RomulusRemus 323 280 Romulus&Remus
13131887.0 21.38 23.65 1392112676.06 0.136249154044 1.06749375914 RomulusRemus 323 280 Romulus&Remus
13131906.0 21.87 31.5 2352112676.06 0.314095234453 1.1183386655 RomulusRemus 323 280 Romulus&Remus
13132316.0 24.57 33.63 4626760563.38 0.164270381332 0.806722392922 RomulusRemus 323 280 Romulus&Remus
13132453.0 25.71 58.27 8767605633.8 0.0802658163205 0.913334168154 RomulusRemus 323 280 Romulus&Remus
13132530.0 24.93 31.02 2919718309.86 0.191108964682 1.10703708507 RomulusRemus 323 280 Romulus&Remus
13132589.0 20.33 20.73 1362816901.41 0.239354304823 1.08364283053 RomulusRemus 323 280 Romulus&Remus
13132602.0 17.74 18.59 1521126760.56 0.27191907826 1.16700720975 RomulusRemus 323 280 Romulus&Remus
13132631.0 21.19 27.5 1788732394.37 0.13672412665 0.823949590806 RomulusRemus 323 280 Romulus&Remus
13132791.0 34.03 35.33 11788732394.4 0.228320385365 1.07917833052 RomulusRemus 323 280 Romulus&Remus
13132987.0 20.31 21.08 1559154929.58 0.273976917131 1.08592117105 RomulusRemus 323 280 Romulus&Remus
13133213.0 21.48 30.17 2326760563.38 0.0987002710395 0.912410837508 RomulusRemus 323 280 Romulus&Remus
13133379.0 29.88 31.22 3815492957.75 0.147988968423 1.01941231499 RomulusRemus 323 280 Romulus&Remus
13134186.0 12.17 29.45 1701408450.7 0.946680245492 0.018436673517 RomulusRemus 323 280 Romulus&Remus
13134913.0 16.3 32.28 3539436619.72 0.847062912225 0.100206710575 RomulusRemus 323 280 Romulus&Remus
13134978.0 19.97 25.9 1483098591.55 0.813052494284 0.145878858444 RomulusRemus 323 280 Romulus&Remus
13135230.0 9.75 28.16 1385352112.68 1.00177945486 0.207508717608 RomulusRemus 323 280 Romulus&Remus
13135996.0 31.22 35.03 4225352112.68 1.09217667477 0.184102973308 RomulusRemus 323 280 Romulus&Remus
13136104.0 27.23 33.35 3115492957.75 0.910230162116 0.058941299362 RomulusRemus 323 280 Romulus&Remus
