ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
26102949.0 43.98 55.86 17464788732.4 0.177604072884 0.606103412593 SilentBobJay 362 285 Zeus&Hera
26103521.0 56.79 56.69 33647887323.9 0.0624984237056 0.622854182034 SilentBobJay 362 285 Zeus&Hera
26104232.0 70.01 70.12 55859154929.6 0.146121326218 0.694787253562 SilentBobJay 362 285 Zeus&Hera
26107079.0 36.61 43.1 14633802816.9 0.180063964588 0.654538338541 SilentBobJay 362 285 Zeus&Hera
26107219.0 37.92 38.2 9764788732.39 0.149557350575 0.678475588201 SilentBobJay 362 285 Zeus&Hera
26107594.0 50.53 50.83 23802816901.4 0.155974537467 0.565914148653 SilentBobJay 362 285 Zeus&Hera
26107669.0 34.29 34.36 11200000000.0 0.147253164804 0.717188728223 SilentBobJay 362 285 Zeus&Hera
26107676.0 33.11 34.59 10015492957.7 0.120037488358 0.698989523454 SilentBobJay 362 285 Zeus&Hera
26107867.0 37.72 39.63 7470422535.21 0.117879722776 0.62999746365 SilentBobJay 362 285 Zeus&Hera
26111677.0 21.5 35.44 6064788732.39 0.680702813257 0.113337916151 SilentBobJay 362 285 Zeus&Hera
