ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
26096387.0 28.01 28.29 2340845070.42 0.298990008518 0.377403898284 SilentBobJay 362 285 Zeus&Hera
26096937.0 18.47 21.14 1629577464.79 0.205454408049 0.506093893425 SilentBobJay 362 285 Zeus&Hera
26097192.0 45.36 53.33 15126760563.4 0.272256558059 0.408112198244 SilentBobJay 362 285 Zeus&Hera
26097259.0 17.71 26.02 1433802816.9 0.119815564474 0.712938042087 SilentBobJay 362 285 Zeus&Hera
26097872.0 26.54 29.03 3209859154.93 0.246975574376 0.399076382085 SilentBobJay 362 285 Zeus&Hera
26098320.0 30.35 33.41 3574647887.32 0.288630933049 0.671859645357 SilentBobJay 362 285 Zeus&Hera
26098328.0 23.24 27.14 1300000000.0 0.352568725793 0.794321807895 SilentBobJay 362 285 Zeus&Hera
26098722.0 20.94 31.4 2809859154.93 0.17544111379 0.548989188727 SilentBobJay 362 285 Zeus&Hera
26098738.0 18.26 22.21 2092957746.48 0.227098691566 0.634658596116 SilentBobJay 362 285 Zeus&Hera
26098791.0 31.5 39.12 6461971830.99 0.326052775206 0.327139695665 SilentBobJay 362 285 Zeus&Hera
26098829.0 21.77 23.42 1685915492.96 0.277264960931 0.660319758823 SilentBobJay 362 285 Zeus&Hera
26099301.0 22.2 25.53 1397183098.59 0.119430004135 0.497409986135 SilentBobJay 362 285 Zeus&Hera
26099327.0 20.69 21.0 1915492957.75 0.186456445717 0.64046312732 SilentBobJay 362 285 Zeus&Hera
26099334.0 21.47 21.62 1354084507.04 0.253622794169 0.562178419439 SilentBobJay 362 285 Zeus&Hera
26100054.0 15.68 37.44 2964788732.39 0.24710707711 0.53230390356 SilentBobJay 362 285 Zeus&Hera
26100111.0 28.74 33.24 3976056338.03 0.249224186825 0.541976230729 SilentBobJay 362 285 Zeus&Hera
26100234.0 27.39 27.51 3622535211.27 0.457374163862 0.188619495873 SilentBobJay 362 285 Zeus&Hera
26100690.0 18.74 23.81 1408450704.23 0.194388392282 0.596662497968 SilentBobJay 362 285 Zeus&Hera
26101282.0 25.59 31.18 3564788732.39 0.126507613818 0.565333617072 SilentBobJay 362 285 Zeus&Hera
26101806.0 26.56 27.73 3229577464.79 0.300798716229 0.468680427145 SilentBobJay 362 285 Zeus&Hera
26101979.0 17.5 35.63 3809859154.93 0.266380417598 0.662496914614 SilentBobJay 362 285 Zeus&Hera
26102257.0 43.95 42.89 23521126760.6 0.291424281219 0.83279483384 SilentBobJay 362 285 Zeus&Hera
26102368.0 28.3 29.74 3887323943.66 0.127327235717 0.53937815702 SilentBobJay 362 285 Zeus&Hera
26102897.0 23.88 31.69 2411267605.63 0.0518161357324 0.626146425338 SilentBobJay 362 285 Zeus&Hera
26102949.0 43.98 55.86 17464788732.4 0.177604072884 0.606103412593 SilentBobJay 362 285 Zeus&Hera
26103105.0 17.45 24.92 1594366197.18 0.075465263209 0.65076898693 SilentBobJay 362 285 Zeus&Hera
26103145.0 17.46 21.36 1747887323.94 0.220368238374 0.804248656208 SilentBobJay 362 285 Zeus&Hera
26103205.0 20.24 38.32 3478873239.44 0.129731266653 0.722823472959 SilentBobJay 362 285 Zeus&Hera
26103319.0 28.31 47.21 10843661971.8 0.194455323513 0.675007464821 SilentBobJay 362 285 Zeus&Hera
26103521.0 56.79 56.69 33647887323.9 0.0624984237056 0.622854182034 SilentBobJay 362 285 Zeus&Hera
26103553.0 25.68 37.12 5546478873.24 0.085819833608 0.535181794592 SilentBobJay 362 285 Zeus&Hera
26103677.0 23.09 27.71 2915492957.75 0.100804671663 0.501739258258 SilentBobJay 362 285 Zeus&Hera
26103833.0 17.52 28.42 2091549295.77 0.338332770037 0.409976537569 SilentBobJay 362 285 Zeus&Hera
26103951.0 26.5 28.49 2649295774.65 0.127564679558 0.57674476272 SilentBobJay 362 285 Zeus&Hera
26103961.0 24.82 33.98 2888732394.37 0.132831160646 0.725866222975 SilentBobJay 362 285 Zeus&Hera
26104019.0 20.98 24.25 1491549295.77 0.334502714575 0.928274492179 SilentBobJay 362 285 Zeus&Hera
26104034.0 24.5 33.06 3152112676.06 0.162824150017 0.746499408301 SilentBobJay 362 285 Zeus&Hera
26104270.0 24.96 30.97 2392957746.48 0.205298152651 0.677438713738 SilentBobJay 362 285 Zeus&Hera
26104682.0 24.88 31.15 4184507042.25 0.191470789629 0.77923993431 SilentBobJay 362 285 Zeus&Hera
26104831.0 20.84 27.02 2238028169.01 0.306386034121 0.831478621419 SilentBobJay 362 285 Zeus&Hera
26105077.0 27.75 30.49 4173239436.62 0.188146086357 0.419262360343 SilentBobJay 362 285 Zeus&Hera
26105079.0 29.07 33.06 4459154929.58 0.281870438778 0.358493273435 SilentBobJay 362 285 Zeus&Hera
26105245.0 19.62 25.15 1666197183.1 0.264176836817 0.724686892146 SilentBobJay 362 285 Zeus&Hera
26105633.0 28.14 30.64 3039436619.72 0.177392968364 0.724749346844 SilentBobJay 362 285 Zeus&Hera
26105679.0 40.74 44.95 13128169014.1 0.269144994694 0.800872529663 SilentBobJay 362 285 Zeus&Hera
26105775.0 21.86 21.77 1381126760.56 0.225708730592 0.657370880032 SilentBobJay 362 285 Zeus&Hera
26106131.0 36.64 37.24 11371830985.9 0.326005265066 0.714270204068 SilentBobJay 362 285 Zeus&Hera
26106856.0 22.97 31.09 4111267605.63 0.306780638319 0.875382187398 SilentBobJay 362 285 Zeus&Hera
26106964.0 32.59 32.86 7835211267.61 0.25762504682 0.779969001642 SilentBobJay 362 285 Zeus&Hera
26106972.0 29.48 29.88 5471830985.92 0.19919216637 0.7621707738 SilentBobJay 362 285 Zeus&Hera
26107068.0 21.88 26.45 2983098591.55 0.211653480937 0.667308601094 SilentBobJay 362 285 Zeus&Hera
26107079.0 36.61 43.1 14633802816.9 0.180063964588 0.654538338541 SilentBobJay 362 285 Zeus&Hera
26107130.0 24.31 34.7 4591549295.77 0.15137143406 0.49067660556 SilentBobJay 362 285 Zeus&Hera
26107219.0 37.92 38.2 9764788732.39 0.149557350575 0.678475588201 SilentBobJay 362 285 Zeus&Hera
26107256.0 21.9 30.54 2447887323.94 0.107720715874 0.628073696267 SilentBobJay 362 285 Zeus&Hera
26107594.0 50.53 50.83 23802816901.4 0.155974537467 0.565914148653 SilentBobJay 362 285 Zeus&Hera
26107667.0 17.17 21.36 2023943661.97 0.161165262439 0.727666784194 SilentBobJay 362 285 Zeus&Hera
26107668.0 20.45 23.84 1578873239.44 0.146881719205 0.721598518802 SilentBobJay 362 285 Zeus&Hera
26107669.0 34.29 34.36 11200000000.0 0.147253164804 0.717188728223 SilentBobJay 362 285 Zeus&Hera
26107676.0 33.11 34.59 10015492957.7 0.120037488358 0.698989523454 SilentBobJay 362 285 Zeus&Hera
26107709.0 27.57 27.76 4191549295.77 0.199446002704 0.791146407041 SilentBobJay 362 285 Zeus&Hera
26107867.0 37.72 39.63 7470422535.21 0.117879722776 0.62999746365 SilentBobJay 362 285 Zeus&Hera
26108390.0 25.59 25.67 2522535211.27 0.64792678401 0.180149873134 SilentBobJay 362 285 Zeus&Hera
26108448.0 21.07 21.16 1338873239.44 0.758634168507 0.192420719743 SilentBobJay 362 285 Zeus&Hera
26109364.0 24.3 38.16 8669014084.51 0.680210903791 0.162702212396 SilentBobJay 362 285 Zeus&Hera
26110551.0 14.45 28.38 1959154929.58 0.650963689658 0.238134502043 SilentBobJay 362 285 Zeus&Hera
26110645.0 15.09 22.04 1466197183.1 0.634335511666 0.0519434060976 SilentBobJay 362 285 Zeus&Hera
26111450.0 17.65 22.94 1591549295.77 0.544397535311 0.0569589515204 SilentBobJay 362 285 Zeus&Hera
26111493.0 23.45 27.64 3278873239.44 0.599807256782 0.106325272064 SilentBobJay 362 285 Zeus&Hera
26111576.0 21.24 29.45 1840845070.42 0.580906171736 0.0243714599869 SilentBobJay 362 285 Zeus&Hera
26111623.0 21.02 27.95 2569014084.51 0.573521194036 0.0556650420405 SilentBobJay 362 285 Zeus&Hera
26111631.0 14.41 23.91 1669014084.51 0.608513528642 0.0460796038922 SilentBobJay 362 285 Zeus&Hera
26111646.0 13.66 22.03 1512676056.34 0.652721152861 0.137815972274 SilentBobJay 362 285 Zeus&Hera
26111677.0 21.5 35.44 6064788732.39 0.680702813257 0.113337916151 SilentBobJay 362 285 Zeus&Hera
26111891.0 17.75 20.72 1344084507.04 0.601558496472 0.064802339355 SilentBobJay 362 285 Zeus&Hera
26111978.0 23.71 26.66 2692957746.48 0.284895982229 0.439786813785 SilentBobJay 362 285 Zeus&Hera
26111980.0 24.21 28.09 3639436619.72 0.283657454822 0.346013856616 SilentBobJay 362 285 Zeus&Hera
26112015.0 19.29 31.01 2771830985.92 0.450575909991 0.174268640938 SilentBobJay 362 285 Zeus&Hera
26112026.0 18.26 20.8 1299295774.65 0.512167891823 0.159750337723 SilentBobJay 362 285 Zeus&Hera
26112377.0 22.37 26.64 1552112676.06 0.54710916643 0.256156871446 SilentBobJay 362 285 Zeus&Hera
26112412.0 12.75 27.03 1847887323.94 0.612522056411 0.206500810663 SilentBobJay 362 285 Zeus&Hera
26112442.0 26.02 30.65 3984507042.25 0.585040644607 0.136120933548 SilentBobJay 362 285 Zeus&Hera
26112446.0 23.94 42.6 6036619718.31 0.590669287253 0.255801349276 SilentBobJay 362 285 Zeus&Hera
26112449.0 11.51 29.36 2232394366.2 0.64439438867 0.255272493666 SilentBobJay 362 285 Zeus&Hera
26112849.0 22.06 22.9 1743661971.83 0.486517258123 0.274249702327 SilentBobJay 362 285 Zeus&Hera
26113203.0 22.89 26.56 2843661971.83 0.680181795512 0.281164078855 SilentBobJay 362 285 Zeus&Hera
