ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
22149405.0 21.79 49.66 8570422535.21 0.044094722751 1.00312951904 AshleyMaryKate 317.0 322.0 Sonny&Cher
22150280.0 27.38 33.39 8360563380.28 0.10016474131 0.952627051863 AshleyMaryKate 317.0 322.0 Sonny&Cher
22150526.0 35.09 35.81 8784507042.25 0.135919863463 0.945938990263 AshleyMaryKate 317.0 322.0 Sonny&Cher
22152212.0 38.43 44.47 9578873239.44 0.0605399725482 0.94809438889 AshleyMaryKate 317.0 322.0 Sonny&Cher
22153494.0 59.61 59.54 29704225352.1 0.0913227565501 1.05032279071 AshleyMaryKate 317.0 322.0 Sonny&Cher
22153854.0 27.33 33.38 5894366197.18 0.105477029204 1.06680340469 AshleyMaryKate 317.0 322.0 Sonny&Cher
22155516.0 28.91 35.98 5853521126.76 1.02867794794 0.065467341651 AshleyMaryKate 317.0 322.0 Sonny&Cher
22158327.0 27.19 42.11 10600000000.0 0.852860238719 0.148029342272 AshleyMaryKate 317.0 322.0 Sonny&Cher
22160105.0 27.52 41.97 10773239436.6 0.894082219416 0.148260347794 AshleyMaryKate 317.0 322.0 Sonny&Cher
22160158.0 33.1 34.37 11123943662.0 0.8697382631 0.135814435904 AshleyMaryKate 317.0 322.0 Sonny&Cher
23030091.0 26.96 44.73 10545070422.5 0.0864987429575 1.00648049189 CherSonny 299.0 315.0 Hamilton&Burr
23033494.0 18.07 59.13 11039436619.7 0.908234270648 0.0491952697781 CherSonny 299.0 315.0 Hamilton&Burr
23034374.0 19.12 43.66 7456338028.17 0.954987925427 0.145014834831 CherSonny 299.0 315.0 Hamilton&Burr
23036199.0 31.57 41.24 5866197183.1 0.0448537971904 0.973275765919 CherSonny 299.0 315.0 Hamilton&Burr
23036525.0 27.89 47.78 9069014084.51 0.137252788355 0.829071648803 CherSonny 299.0 315.0 Hamilton&Burr
23036699.0 38.74 51.63 13908450704.2 0.0493372059293 0.981931092644 CherSonny 299.0 315.0 Hamilton&Burr
23037239.0 30.35 39.94 5945070422.54 1.0731645121 0.135240417926 CherSonny 299.0 315.0 Hamilton&Burr
23038439.0 61.6 70.76 38197183098.6 0.952711235097 0.102053193943 CherSonny 299.0 315.0 Hamilton&Burr
10499245.0 49.59 66.35 61338028169.0 0.144918994536 1.07608456659 FrodoSam 299.0 277.0 Hall&Oates
10500627.0 42.83 40.84 16619718309.9 0.110001478773 0.881355010894 FrodoSam 299.0 277.0 Hall&Oates
10504795.0 35.12 63.76 35084507042.3 0.0632016575256 0.934458969968 FrodoSam 299.0 277.0 Hall&Oates
10508084.0 36.27 42.08 5929577464.79 0.994921589599 0.0296643592795 FrodoSam 299.0 277.0 Hall&Oates
80176320.0 50.23 78.1 47929577464.8 0.0584227661044 0.662824769501 HodorBran 346.0 306.0 Scylla&Charybdis
80177222.0 45.31 53.05 12283098591.5 0.139146792971 0.798714557186 HodorBran 346.0 306.0 Scylla&Charybdis
80175824.0 46.23 45.26 9152112676.06 0.0494308009898 0.700822291844 HodorBran 346.0 306.0 Scylla&Charybdis
80179361.0 40.4 67.23 23000000000.0 0.101745404592 0.735649095391 HodorBran 346.0 306.0 Scylla&Charybdis
80182750.0 37.16 51.51 14394366197.2 0.165321573829 0.568590427453 HodorBran 346.0 306.0 Scylla&Charybdis
80180564.0 34.35 45.48 8950704225.35 0.101981809293 0.750704841054 HodorBran 346.0 306.0 Scylla&Charybdis
80304205.0 31.92 60.51 25098591549.3 0.751561417697 0.065662740704 HodorBran 346.0 306.0 Scylla&Charybdis
80304135.0 31.53 48.62 10261971831.0 0.787447572873 0.0920075486583 HodorBran 346.0 306.0 Scylla&Charybdis
80177892.0 28.75 45.57 9771830985.92 0.0761735013054 0.751005858198 HodorBran 346.0 306.0 Scylla&Charybdis
80175504.0 24.7 53.3 17788732394.4 0.163805947435 0.849199085543 HodorBran 346.0 306.0 Scylla&Charybdis
20829818.0 32.87 42.31 6890140845.07 0.0568604667239 1.08818192915 JerryTom 266.0 338.0 Kek&Kauket
20833403.0 43.0 65.98 48690140845.1 1.07722076276 0.124180460414 JerryTom 266.0 338.0 Kek&Kauket
20833408.0 39.6 60.09 59760563380.3 1.07449874097 0.168759534251 JerryTom 266.0 338.0 Kek&Kauket
20833425.0 31.06 44.89 13452112676.1 1.0723015268 0.0950342393325 JerryTom 266.0 338.0 Kek&Kauket
20834866.0 27.89 32.32 8177464788.73 1.11003552568 0.102409632316 JerryTom 266.0 338.0 Kek&Kauket
20835897.0 27.15 28.14 7228169014.08 1.04275460109 0.0721877497643 JerryTom 266.0 338.0 Kek&Kauket
20839854.0 25.24 38.87 6230985915.49 0.989588017388 0.168612109422 JerryTom 266.0 338.0 Kek&Kauket
20840002.0 35.2 47.2 15464788732.4 1.09494368163 0.138112447682 JerryTom 266.0 338.0 Kek&Kauket
20840337.0 16.13 44.2 7101408450.7 0.931726760695 0.147106519602 JerryTom 266.0 338.0 Kek&Kauket
52724249.0 36.22 36.37 7428169014.08 0.712101326043 0.13631991135 KobeShaq 295.0 368.0 Serena&Venus
52729451.0 40.28 41.94 10950704225.4 0.743704811106 0.110522368818 KobeShaq 295.0 368.0 Serena&Venus
52735288.0 19.16 44.82 9488732394.37 0.691690468078 0.0258864426891 KobeShaq 295.0 368.0 Serena&Venus
52735463.0 37.48 40.85 8138028169.01 0.123962365746 0.647391423811 KobeShaq 295.0 368.0 Serena&Venus
52736552.0 24.49 46.31 7878873239.44 0.042888121827 0.672192697974 KobeShaq 295.0 368.0 Serena&Venus
52736559.0 33.33 72.52 49605633802.8 0.104157928325 0.603621825379 KobeShaq 295.0 368.0 Serena&Venus
52964151.0 46.79 47.59 21619718309.9 0.719693943112 0.138472022057 KobeShaq 295.0 368.0 Serena&Venus
14340086.0 51.86 62.36 26915492957.7 0.11068774113 0.673834246788 LincolnDouglas 356.0 287.0 Lincoln&Douglas
