ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
22153476.0 70.41 72.02 70591549295.8 0.252628482104 1.19705197012 AshleyMaryKate 317.0 322.0 Sonny&Cher
22153794.0 80.59 89.03 126183098592.0 0.259188778408 1.05039565504 AshleyMaryKate 317.0 322.0 Sonny&Cher
22158655.0 56.18 73.89 90957746478.9 0.973114897456 0.164923950783 AshleyMaryKate 317.0 322.0 Sonny&Cher
80180171.0 84.4 89.04 91352112676.1 0.591216192935 0.221434824882 HodorBran 346.0 306.0 Scylla&Charybdis
80177891.0 77.15 73.65 75704225352.1 0.0839276062252 0.762178072893 HodorBran 346.0 306.0 Scylla&Charybdis
80183399.0 34.38 109.57 163661971831.0 0.705220763262 0.0488298484168 HodorBran 346.0 306.0 Scylla&Charybdis
20837744.0 63.57 66.3 63521126760.6 0.189572157911 1.10734295534 JerryTom 266.0 338.0 Kek&Kauket
52736439.0 82.91 94.65 161267605634.0 0.180540123417 0.507313880882 KobeShaq 295.0 368.0 Serena&Venus
52737626.0 60.78 93.06 110943661972.0 0.68486963995 0.110684784875 KobeShaq 295.0 368.0 Serena&Venus
14345022.0 75.19 96.25 103112676056.0 0.183116776995 0.860132197596 LincolnDouglas 356.0 287.0 Lincoln&Douglas
14347577.0 88.83 93.6 113464788732.0 0.746427150613 0.107714620163 LincolnDouglas 356.0 287.0 Lincoln&Douglas
18590659.0 39.76 82.45 152253521127.0 1.00654742812 0.243460486589 PuffBiggie 276.0 369.0 Orion&Taurus
10249266.0 55.27 61.71 64577464788.7 0.22696603673 -1.0 iAshley 324.0 -1.0 iCher
10251808.0 57.2 69.64 75000000000.0 0.192809457773 -1.0 iAshley 324.0 -1.0 iCher
10252665.0 63.1 65.12 71718309859.2 0.216804247948 -1.0 iAshley 324.0 -1.0 iCher
8459379.0 65.69 78.6 116183098592.0 0.269283361653 -1.0 iCher 302.0 -1.0 iBurr
7472652.0 60.38 75.23 77985915493.0 0.26853045089 -1.0 iFrodo 300.0 -1.0 iHall
7473264.0 73.04 84.49 118422535211.0 0.0567757589837 -1.0 iFrodo 300.0 -1.0 iHall
15349153.0 51.15 75.73 85732394366.2 0.247766171578 -1.0 iHodor 343.0 -1.0 iCharybdis
12958502.0 82.94 84.96 107971830986.0 0.221688069321 -1.0 iLincoln 359.0 -1.0 iLincoln
12959970.0 43.76 93.74 79450704225.4 0.190838703184 -1.0 iLincoln 359.0 -1.0 iLincoln
17471978.0 64.09 69.23 65366197183.1 0.182455253854 -1.0 iMaryKate 310.0 -1.0 iSonny
17473669.0 45.25 80.76 80000000000.0 0.0310932137114 -1.0 iMaryKate 310.0 -1.0 iSonny
13875874.0 75.17 82.64 92338028169.0 0.0905451112934 -1.0 iRemus 327.0 -1.0 iRomulus
16833260.0 52.16 78.12 74281690140.8 0.0277200882574 -1.0 iShaq 361.0 -1.0 iSerana
12772273.0 60.27 80.54 109802816901.0 0.290705936778 -1.0 iSilentBob 358.0 -1.0 iZeus
12539539.0 54.28 62.74 62774647887.3 0.0694395251228 -1.0 iTennille 342.0 -1.0 iRoy
21262325.0 71.43 71.1 152957746479.0 0.281238639921 -1.0 iTom 349.0 -1.0 iKek
21262482.0 70.64 69.98 62746478873.2 0.0628658970169 -1.0 iTom 349.0 -1.0 iKek
64556500.0 63.91 82.67 110408450704.0 0.78749044688 0.235194123521 theCaptainTennille 337.0 336.0 Siegfried&Roy
