ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
10245021.0 19.26 32.31 3678873239.44 0.165171435348 -1.0 iAshley 324 -1 iCher
10245397.0 17.26 23.86 1867605633.8 0.0514799830327 -1.0 iAshley 324 -1 iCher
10245691.0 22.85 38.09 6407042253.52 0.137465000144 -1.0 iAshley 324 -1 iCher
10246533.0 28.55 39.98 12738028169.0 0.179738189328 -1.0 iAshley 324 -1 iCher
10246760.0 19.08 22.53 2200000000.0 0.169968257302 -1.0 iAshley 324 -1 iCher
10246898.0 22.58 23.67 1726760563.38 0.202974958463 -1.0 iAshley 324 -1 iCher
10247354.0 21.91 26.13 2201408450.7 0.204396184014 -1.0 iAshley 324 -1 iCher
10247663.0 18.73 24.23 2094366197.18 0.316833648155 -1.0 iAshley 324 -1 iCher
10247704.0 24.66 24.91 2394366197.18 0.178165006357 -1.0 iAshley 324 -1 iCher
10247734.0 24.63 24.61 1543661971.83 0.118307466441 -1.0 iAshley 324 -1 iCher
10247772.0 29.43 43.46 15450704225.4 0.210059842127 -1.0 iAshley 324 -1 iCher
10247786.0 16.16 26.99 2226760563.38 0.204005115342 -1.0 iAshley 324 -1 iCher
10247787.0 14.91 20.83 1680281690.14 0.161153164388 -1.0 iAshley 324 -1 iCher
10248828.0 25.14 25.02 2423943661.97 0.226211293475 -1.0 iAshley 324 -1 iCher
10249002.0 24.97 24.97 2349295774.65 0.275548174498 -1.0 iAshley 324 -1 iCher
10249110.0 44.67 46.03 14366197183.1 0.221447759744 -1.0 iAshley 324 -1 iCher
10249130.0 16.64 35.88 4342253521.13 0.193460418548 -1.0 iAshley 324 -1 iCher
10249149.0 17.86 23.76 1723943661.97 0.142817637579 -1.0 iAshley 324 -1 iCher
10249209.0 22.31 26.52 1901408450.7 0.252856011726 -1.0 iAshley 324 -1 iCher
10249215.0 18.45 22.87 1367323943.66 0.307823258866 -1.0 iAshley 324 -1 iCher
10249262.0 20.72 26.0 1687323943.66 0.163534750315 -1.0 iAshley 324 -1 iCher
10249657.0 19.86 23.34 1787323943.66 0.117848550677 -1.0 iAshley 324 -1 iCher
10250031.0 23.02 24.48 1787323943.66 0.0930285101976 -1.0 iAshley 324 -1 iCher
10250265.0 20.42 30.36 3673239436.62 0.176243617011 -1.0 iAshley 324 -1 iCher
10250319.0 19.12 19.71 1467605633.8 0.245927806913 -1.0 iAshley 324 -1 iCher
10250471.0 23.63 25.93 1730985915.49 0.234970209612 -1.0 iAshley 324 -1 iCher
10250837.0 20.21 25.92 1508450704.23 0.126036701594 -1.0 iAshley 324 -1 iCher
10251149.0 19.98 21.22 1908450704.23 0.288972126172 -1.0 iAshley 324 -1 iCher
10251807.0 23.46 27.15 2084507042.25 0.223423006233 -1.0 iAshley 324 -1 iCher
10251863.0 26.64 40.33 6156338028.17 0.178987022699 -1.0 iAshley 324 -1 iCher
10251967.0 58.02 58.8 32436619718.3 0.195512787686 -1.0 iAshley 324 -1 iCher
10251982.0 32.61 37.49 8038028169.01 0.0877086991669 -1.0 iAshley 324 -1 iCher
10252127.0 25.56 29.35 3146478873.24 0.107854623073 -1.0 iAshley 324 -1 iCher
10252159.0 24.23 25.22 3991549295.77 0.249282973333 -1.0 iAshley 324 -1 iCher
10252250.0 15.3 22.83 1983098591.55 0.178186979554 -1.0 iAshley 324 -1 iCher
10252276.0 26.56 31.05 3204225352.11 0.176071027556 -1.0 iAshley 324 -1 iCher
10252580.0 20.75 24.83 1987323943.66 0.238226760642 -1.0 iAshley 324 -1 iCher
10252635.0 18.94 29.56 2104225352.11 0.0692737354739 -1.0 iAshley 324 -1 iCher
10252648.0 34.13 45.35 16211267605.6 0.19101290941 -1.0 iAshley 324 -1 iCher
10252661.0 15.93 27.3 2871830985.92 0.226836144346 -1.0 iAshley 324 -1 iCher
10252662.0 29.99 45.25 17422535211.3 0.213235547065 -1.0 iAshley 324 -1 iCher
10252770.0 27.8 27.12 4692957746.48 0.279690623497 -1.0 iAshley 324 -1 iCher
10252788.0 25.9 26.75 3394366197.18 0.217534970522 -1.0 iAshley 324 -1 iCher
