ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
10245691.0 22.85 38.09 6407042253.52 0.137465000144 -1.0 iAshley 324 -1 iCher
10246533.0 28.55 39.98 12738028169.0 0.179738189328 -1.0 iAshley 324 -1 iCher
10247772.0 29.43 43.46 15450704225.4 0.210059842127 -1.0 iAshley 324 -1 iCher
10249110.0 44.67 46.03 14366197183.1 0.221447759744 -1.0 iAshley 324 -1 iCher
10251863.0 26.64 40.33 6156338028.17 0.178987022699 -1.0 iAshley 324 -1 iCher
10251967.0 58.02 58.8 32436619718.3 0.195512787686 -1.0 iAshley 324 -1 iCher
10251982.0 32.61 37.49 8038028169.01 0.0877086991669 -1.0 iAshley 324 -1 iCher
10252444.0 42.98 52.83 36478873239.4 0.25877244049 -1.0 iAshley 324 -1 iCher
10252648.0 34.13 45.35 16211267605.6 0.19101290941 -1.0 iAshley 324 -1 iCher
10252662.0 29.99 45.25 17422535211.3 0.213235547065 -1.0 iAshley 324 -1 iCher
