ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
8455980.0 20.61 31.21 2488732394.37 0.143624822593 -1.0 iCher 302 -1 iBurr
8456186.0 26.03 27.39 4663380281.69 0.167397165299 -1.0 iCher 302 -1 iBurr
8457493.0 23.78 25.15 2557746478.87 0.254154915528 -1.0 iCher 302 -1 iBurr
8458200.0 29.94 30.11 3956338028.17 0.230366086098 -1.0 iCher 302 -1 iBurr
8458373.0 22.33 22.94 1393098591.55 0.23074511839 -1.0 iCher 302 -1 iBurr
8458424.0 41.12 41.77 16661971831.0 0.239942366452 -1.0 iCher 302 -1 iBurr
8458450.0 27.49 28.38 4205633802.82 0.215666609127 -1.0 iCher 302 -1 iBurr
8458848.0 44.81 43.08 22211267605.6 0.136051987216 -1.0 iCher 302 -1 iBurr
8458858.0 21.72 23.37 1781690140.85 0.186039654443 -1.0 iCher 302 -1 iBurr
8459159.0 24.18 24.01 2128169014.08 0.300137612094 -1.0 iCher 302 -1 iBurr
8459215.0 26.89 26.86 5646478873.24 0.156516269412 -1.0 iCher 302 -1 iBurr
8459350.0 18.58 22.44 1303661971.83 0.193728260102 -1.0 iCher 302 -1 iBurr
8459357.0 21.13 37.8 4454929577.46 0.281916594187 -1.0 iCher 302 -1 iBurr
8459416.0 17.37 21.93 1335211267.61 0.0498741085239 -1.0 iCher 302 -1 iBurr
8459538.0 28.82 46.13 4669014084.51 0.0883608013995 -1.0 iCher 302 -1 iBurr
8459541.0 22.42 24.54 1540845070.42 0.0548242706712 -1.0 iCher 302 -1 iBurr
8459630.0 20.23 26.07 2643661971.83 0.108111311818 -1.0 iCher 302 -1 iBurr
8459721.0 25.26 39.3 14253521126.8 0.12512774508 -1.0 iCher 302 -1 iBurr
8459763.0 17.16 38.38 2650704225.35 0.0825547638235 -1.0 iCher 302 -1 iBurr
8459821.0 32.86 33.79 5142253521.13 0.161108598036 -1.0 iCher 302 -1 iBurr
8459842.0 23.47 24.52 2459154929.58 0.179342259113 -1.0 iCher 302 -1 iBurr
8459917.0 16.7 28.01 2823943661.97 0.182892795506 -1.0 iCher 302 -1 iBurr
8459999.0 20.95 22.47 1334788732.39 0.268532560344 -1.0 iCher 302 -1 iBurr
8460037.0 22.68 35.47 2201408450.7 0.101318498838 -1.0 iCher 302 -1 iBurr
8460064.0 26.79 33.37 4304225352.11 0.202006138678 -1.0 iCher 302 -1 iBurr
8460151.0 18.14 27.19 1461971830.99 0.0348411363305 -1.0 iCher 302 -1 iBurr
8460257.0 23.44 31.83 3166197183.1 0.167851001601 -1.0 iCher 302 -1 iBurr
8460361.0 27.12 37.59 9515492957.75 0.110184467785 -1.0 iCher 302 -1 iBurr
8460517.0 16.85 31.46 2176056338.03 0.130820044909 -1.0 iCher 302 -1 iBurr
8461054.0 20.43 25.85 2357746478.87 0.136412214277 -1.0 iCher 302 -1 iBurr
8461081.0 13.73 37.87 3509859154.93 0.0788561412554 -1.0 iCher 302 -1 iBurr
8461092.0 13.67 29.89 1616901408.45 0.100685630116 -1.0 iCher 302 -1 iBurr
8461119.0 25.09 33.64 5825352112.68 0.0860177860213 -1.0 iCher 302 -1 iBurr
8461145.0 23.57 31.12 2960563380.28 0.149922877747 -1.0 iCher 302 -1 iBurr
