ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
8514176.0 23.24 23.81 2598591549.3 0.227271674009 -1.0 iDouglas 285 -1 iDouglas
8514373.0 28.47 43.43 6677464788.73 0.114684820331 -1.0 iDouglas 285 -1 iDouglas
8514864.0 17.76 32.46 3002816901.41 0.0484489067796 -1.0 iDouglas 285 -1 iDouglas
8515089.0 15.03 28.88 1692957746.48 0.127697051636 -1.0 iDouglas 285 -1 iDouglas
8515150.0 29.12 31.63 5218309859.15 0.159877483593 -1.0 iDouglas 285 -1 iDouglas
8515549.0 23.09 27.85 1400140845.07 0.0429739106047 -1.0 iDouglas 285 -1 iDouglas
8515620.0 30.55 34.83 7733802816.9 0.229897736509 -1.0 iDouglas 285 -1 iDouglas
8515979.0 24.63 22.42 1697183098.59 0.044760018256 -1.0 iDouglas 285 -1 iDouglas
8516464.0 20.99 22.86 1435211267.61 0.227318223832 -1.0 iDouglas 285 -1 iDouglas
8516596.0 29.49 40.15 9805633802.82 0.143030494222 -1.0 iDouglas 285 -1 iDouglas
8516642.0 20.73 22.42 1652112676.06 0.117948806893 -1.0 iDouglas 285 -1 iDouglas
8516858.0 19.19 25.81 2119718309.86 0.262812459392 -1.0 iDouglas 285 -1 iDouglas
8517135.0 24.78 27.63 1902816901.41 0.250396565852 -1.0 iDouglas 285 -1 iDouglas
8517274.0 38.56 39.59 12190140845.1 0.245597453781 -1.0 iDouglas 285 -1 iDouglas
8517288.0 28.76 29.89 4535211267.61 0.271748221364 -1.0 iDouglas 285 -1 iDouglas
8517495.0 14.45 31.86 2457746478.87 0.149211436449 -1.0 iDouglas 285 -1 iDouglas
8517538.0 22.63 33.56 4402816901.41 0.0725459420478 -1.0 iDouglas 285 -1 iDouglas
8517543.0 17.52 25.2 1621126760.56 0.0841624382295 -1.0 iDouglas 285 -1 iDouglas
8517574.0 15.1 26.78 2402816901.41 0.0512120210205 -1.0 iDouglas 285 -1 iDouglas
8517576.0 23.79 29.94 4249295774.65 0.022218491774 -1.0 iDouglas 285 -1 iDouglas
8517693.0 29.78 35.71 7988732394.37 0.205463518632 -1.0 iDouglas 285 -1 iDouglas
8517737.0 16.93 37.97 4235211267.61 0.0716588063456 -1.0 iDouglas 285 -1 iDouglas
8517906.0 49.43 50.12 20197183098.6 0.14414377507 -1.0 iDouglas 285 -1 iDouglas
8517951.0 21.08 28.94 3490140845.07 0.243002521696 -1.0 iDouglas 285 -1 iDouglas
8518123.0 15.6 24.76 1864788732.39 0.194524512989 -1.0 iDouglas 285 -1 iDouglas
8518160.0 21.62 36.89 5656338028.17 0.180271798804 -1.0 iDouglas 285 -1 iDouglas
