ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
15347272.0 47.47 62.97 34661971831.0 0.158153135922 -1.0 iHodor 343 -1 iCharybdis
15350331.0 46.4 57.33 25352112676.1 0.253043297353 -1.0 iHodor 343 -1 iCharybdis
15345525.0 31.46 32.15 6395774647.89 0.281892492813 -1.0 iHodor 343 -1 iCharybdis
15350583.0 25.85 31.75 5747887323.94 0.306283997825 -1.0 iHodor 343 -1 iCharybdis
15347918.0 34.64 44.41 6785915492.96 0.326892036142 -1.0 iHodor 343 -1 iCharybdis
15345361.0 31.8 46.68 7742253521.13 0.140623714083 -1.0 iHodor 343 -1 iCharybdis
15343167.0 25.57 44.87 9546478873.24 0.170026867546 -1.0 iHodor 343 -1 iCharybdis
15350610.0 23.09 38.67 5932394366.2 0.30081769934 -1.0 iHodor 343 -1 iCharybdis
15350607.0 24.94 40.46 5888732394.37 0.11672678456 -1.0 iHodor 343 -1 iCharybdis
15348473.0 22.04 44.66 9805633802.82 0.143569491084 -1.0 iHodor 343 -1 iCharybdis
