ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
6586469.0 18.13 18.79 1296056338.03 0.250450279678 -1.0 iJay 278 -1 iHera
6587066.0 35.67 38.43 9133802816.9 0.189974596596 -1.0 iJay 278 -1 iHera
6587676.0 18.92 32.88 1780281690.14 0.0476039023771 -1.0 iJay 278 -1 iHera
6589617.0 17.61 17.23 1321549295.77 0.172353385652 -1.0 iJay 278 -1 iHera
6589771.0 23.43 27.41 1909859154.93 0.117681080632 -1.0 iJay 278 -1 iHera
6590514.0 20.98 21.3 1381690140.85 0.219661485068 -1.0 iJay 278 -1 iHera
6590594.0 27.65 31.13 2652112676.06 0.0948572884788 -1.0 iJay 278 -1 iHera
6590633.0 27.76 29.85 3188732394.37 0.246626491811 -1.0 iJay 278 -1 iHera
6590711.0 24.66 25.73 3777464788.73 0.207836062805 -1.0 iJay 278 -1 iHera
6591155.0 19.87 24.09 1314929577.46 0.188395411792 -1.0 iJay 278 -1 iHera
6591170.0 22.38 26.33 1542253521.13 0.267097635696 -1.0 iJay 278 -1 iHera
6591239.0 18.36 39.12 5692957746.48 0.0713050922955 -1.0 iJay 278 -1 iHera
6591296.0 20.31 26.08 1650704225.35 0.22127737492 -1.0 iJay 278 -1 iHera
6591356.0 20.07 24.94 2047887323.94 0.15375058895 -1.0 iJay 278 -1 iHera
6591570.0 23.19 32.19 5323943661.97 0.25242664257 -1.0 iJay 278 -1 iHera
6591578.0 14.67 22.08 2230985915.49 0.212210317855 -1.0 iJay 278 -1 iHera
6591833.0 18.8 28.91 1595774647.89 0.0697088996352 -1.0 iJay 278 -1 iHera
6592072.0 19.95 32.58 2759154929.58 0.0937646847588 -1.0 iJay 278 -1 iHera
6592484.0 20.24 26.39 2385915492.96 0.246794026286 -1.0 iJay 278 -1 iHera
6592508.0 31.86 32.25 4928169014.08 0.118222840231 -1.0 iJay 278 -1 iHera
6592521.0 23.11 23.63 2354929577.46 0.097865099311 -1.0 iJay 278 -1 iHera
