ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
12947070.0 46.22 58.45 20014084507.0 0.0757186897417 -1.0 iKobe 291 -1 iVenus
12944509.0 40.42 42.55 7177464788.73 0.110111286153 -1.0 iKobe 291 -1 iVenus
12943026.0 32.9 35.44 5456338028.17 0.227945034824 -1.0 iKobe 291 -1 iVenus
12947152.0 37.05 42.63 6291549295.77 0.185033662501 -1.0 iKobe 291 -1 iVenus
12943708.0 28.28 29.92 3392957746.48 0.0592737388381 -1.0 iKobe 291 -1 iVenus
12946311.0 30.84 35.38 4229577464.79 0.25187379902 -1.0 iKobe 291 -1 iVenus
12947600.0 24.26 26.34 2556338028.17 0.277006059989 -1.0 iKobe 291 -1 iVenus
12945338.0 28.64 27.89 2808450704.23 0.0683308200743 -1.0 iKobe 291 -1 iVenus
12944880.0 27.61 30.42 2287323943.66 0.229228474482 -1.0 iKobe 291 -1 iVenus
12943386.0 28.13 31.4 2640845070.42 0.136048188162 -1.0 iKobe 291 -1 iVenus
12945427.0 23.09 24.93 2078873239.44 0.286016499539 -1.0 iKobe 291 -1 iVenus
12943335.0 25.63 42.52 7070422535.21 0.107585158623 -1.0 iKobe 291 -1 iVenus
12947368.0 24.02 26.74 1985915492.96 0.11729736185 -1.0 iKobe 291 -1 iVenus
12944875.0 23.68 30.49 2867605633.8 0.150332686016 -1.0 iKobe 291 -1 iVenus
12943397.0 22.21 24.29 1329295774.65 0.0523741953449 -1.0 iKobe 291 -1 iVenus
12947252.0 20.35 28.49 3277464788.73 0.208514429258 -1.0 iKobe 291 -1 iVenus
12946500.0 17.12 28.86 3815492957.75 0.177597917872 -1.0 iKobe 291 -1 iVenus
12947477.0 20.32 30.0 3005633802.82 0.113263618573 -1.0 iKobe 291 -1 iVenus
12947236.0 19.54 28.56 2340845070.42 0.117530796801 -1.0 iKobe 291 -1 iVenus
12943155.0 18.09 26.29 1826760563.38 0.109364909346 -1.0 iKobe 291 -1 iVenus
12944473.0 19.8 29.89 2339436619.72 0.16800440017 -1.0 iKobe 291 -1 iVenus
12944607.0 17.97 26.08 1447887323.94 0.205415022532 -1.0 iKobe 291 -1 iVenus
12945792.0 16.97 31.55 1864788732.39 0.169248829352 -1.0 iKobe 291 -1 iVenus
12944712.0 13.74 28.66 1711267605.63 0.201170503094 -1.0 iKobe 291 -1 iVenus
12947386.0 12.37 27.93 1625352112.68 0.1725093404 -1.0 iKobe 291 -1 iVenus
