ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
6826213.0 42.85 46.49 9435211267.61 0.194065579935 -1.0 iLouise 261 -1 iLouise
6825689.0 37.58 44.03 10583098591.5 0.215250465146 -1.0 iLouise 261 -1 iLouise
6826040.0 35.57 46.92 16239436619.7 0.211892354199 -1.0 iLouise 261 -1 iLouise
6761896.0 34.1 38.49 4429577464.79 0.168656497309 -1.0 iLouise 261 -1 iLouise
6825967.0 23.06 23.04 2063380281.69 0.201225371829 -1.0 iLouise 261 -1 iLouise
6752978.0 26.07 27.48 2209859154.93 0.230115476044 -1.0 iLouise 261 -1 iLouise
6752934.0 36.14 41.55 6156338028.17 0.0112003184555 -1.0 iLouise 261 -1 iLouise
6825879.0 24.43 26.94 1891549295.77 0.0932030001995 -1.0 iLouise 261 -1 iLouise
6761873.0 21.04 26.94 2821126760.56 0.19564221278 -1.0 iLouise 261 -1 iLouise
6826298.0 19.54 23.31 1387464788.73 0.253352530012 -1.0 iLouise 261 -1 iLouise
6752920.0 18.5 23.37 1515492957.75 0.22134244617 -1.0 iLouise 261 -1 iLouise
6751664.0 19.51 23.68 1302676056.34 0.128994017906 -1.0 iLouise 261 -1 iLouise
6752912.0 19.68 33.31 3526760563.38 0.182618539166 -1.0 iLouise 261 -1 iLouise
6752924.0 19.57 29.34 2425352112.68 0.251176371361 -1.0 iLouise 261 -1 iLouise
6826073.0 17.66 26.97 1733802816.9 0.136834326143 -1.0 iLouise 261 -1 iLouise
6751348.0 17.01 29.11 2684507042.25 0.134008649687 -1.0 iLouise 261 -1 iLouise
6825755.0 16.67 31.08 3073239436.62 0.231658027656 -1.0 iLouise 261 -1 iLouise
6825613.0 17.44 32.76 1780281690.14 0.130959617987 -1.0 iLouise 261 -1 iLouise
6752272.0 18.39 27.94 1830985915.49 0.0822112096943 -1.0 iLouise 261 -1 iLouise
6825934.0 16.5 24.29 1341971830.99 0.0512024872778 -1.0 iLouise 261 -1 iLouise
6751419.0 15.7 25.94 1375492957.75 0.0394654899356 -1.0 iLouise 261 -1 iLouise
6825746.0 13.08 28.85 1614084507.04 0.0740439708626 -1.0 iLouise 261 -1 iLouise
6752817.0 13.23 37.38 3907042253.52 0.0671990000965 -1.0 iLouise 261 -1 iLouise
6825817.0 12.02 25.65 1296619718.31 0.0964619045425 -1.0 iLouise 261 -1 iLouise
