ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
17471664.0 48.65 46.26 21197183098.6 0.175824131939 -1.0 iMaryKate 310 -1 iSonny
17473612.0 37.19 38.15 8950704225.35 0.0241996629269 -1.0 iMaryKate 310 -1 iSonny
17456644.0 32.07 44.18 13556338028.2 0.26602656765 -1.0 iMaryKate 310 -1 iSonny
17474537.0 33.7 34.94 4892957746.48 0.155388524457 -1.0 iMaryKate 310 -1 iSonny
17474282.0 31.93 34.12 4333802816.9 0.144691766868 -1.0 iMaryKate 310 -1 iSonny
17454861.0 28.17 27.81 3430985915.49 0.257419902781 -1.0 iMaryKate 310 -1 iSonny
17474609.0 30.1 34.71 5483098591.55 0.179479313138 -1.0 iMaryKate 310 -1 iSonny
17474844.0 27.07 28.4 2991549295.77 0.180885545688 -1.0 iMaryKate 310 -1 iSonny
17472118.0 24.45 27.34 4450704225.35 0.168572978374 -1.0 iMaryKate 310 -1 iSonny
17471849.0 22.51 23.8 2100000000.0 0.194472994236 -1.0 iMaryKate 310 -1 iSonny
17472010.0 24.76 25.14 3721126760.56 0.26782700999 -1.0 iMaryKate 310 -1 iSonny
17470650.0 25.87 29.35 3243661971.83 0.240546931439 -1.0 iMaryKate 310 -1 iSonny
17456581.0 21.29 21.71 1616901408.45 0.188811308392 -1.0 iMaryKate 310 -1 iSonny
17474682.0 29.12 34.62 4580281690.14 0.100749862603 -1.0 iMaryKate 310 -1 iSonny
17454970.0 27.2 32.26 3432394366.2 0.16740496983 -1.0 iMaryKate 310 -1 iSonny
17470805.0 22.44 22.48 1529577464.79 0.133638282084 -1.0 iMaryKate 310 -1 iSonny
17454992.0 23.2 23.73 1687323943.66 0.173185601391 -1.0 iMaryKate 310 -1 iSonny
17471985.0 22.95 24.55 1921126760.56 0.223908901988 -1.0 iMaryKate 310 -1 iSonny
17474846.0 20.3 19.51 1566197183.1 0.211665341102 -1.0 iMaryKate 310 -1 iSonny
17436461.0 22.63 24.22 1477464788.73 0.220270421346 -1.0 iMaryKate 310 -1 iSonny
17436377.0 20.09 20.75 1977464788.73 0.213316334024 -1.0 iMaryKate 310 -1 iSonny
17436676.0 20.76 23.16 2194366197.18 0.205172630659 -1.0 iMaryKate 310 -1 iSonny
17454978.0 25.17 37.01 4580281690.14 0.0776408613586 -1.0 iMaryKate 310 -1 iSonny
17471663.0 25.0 27.8 2028169014.08 0.17560197482 -1.0 iMaryKate 310 -1 iSonny
17474884.0 21.89 22.79 2084507042.25 0.226964223564 -1.0 iMaryKate 310 -1 iSonny
17456616.0 23.85 35.14 5370422535.21 0.0974968786219 -1.0 iMaryKate 310 -1 iSonny
17474764.0 24.63 31.58 3802816901.41 0.133896332036 -1.0 iMaryKate 310 -1 iSonny
17471889.0 22.63 27.8 2192957746.48 0.116165377636 -1.0 iMaryKate 310 -1 iSonny
17472106.0 21.2 24.4 1321830985.92 0.0840301437965 -1.0 iMaryKate 310 -1 iSonny
17474533.0 20.32 23.74 1533802816.9 0.123576138841 -1.0 iMaryKate 310 -1 iSonny
17454979.0 22.27 37.48 5629577464.79 0.059940585871 -1.0 iMaryKate 310 -1 iSonny
17471139.0 16.94 34.98 6304225352.11 0.0980234669829 -1.0 iMaryKate 310 -1 iSonny
17473487.0 21.11 25.09 1320845070.42 0.0927197583077 -1.0 iMaryKate 310 -1 iSonny
17471879.0 17.45 22.58 1529577464.79 0.296544106102 -1.0 iMaryKate 310 -1 iSonny
17471977.0 19.35 34.87 5021126760.56 0.185805090993 -1.0 iMaryKate 310 -1 iSonny
17454793.0 17.12 25.18 1626760563.38 0.222523473572 -1.0 iMaryKate 310 -1 iSonny
17454801.0 19.41 39.25 4826760563.38 0.136361901355 -1.0 iMaryKate 310 -1 iSonny
17454497.0 18.43 28.22 1652112676.06 0.159794222092 -1.0 iMaryKate 310 -1 iSonny
17473940.0 16.14 26.13 1954929577.46 0.0936726765036 -1.0 iMaryKate 310 -1 iSonny
17431822.0 12.68 22.0 1492957746.48 0.179818488349 -1.0 iMaryKate 310 -1 iSonny
17473938.0 13.49 29.27 2352112676.06 0.0677044201968 -1.0 iMaryKate 310 -1 iSonny
