ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
13875912.0 46.96 46.85 21126760563.4 0.161664954852 -1.0 iRemus 327 -1 iRomulus
13872490.0 51.56 54.3 22436619718.3 0.241700169692 -1.0 iRemus 327 -1 iRomulus
13875942.0 43.01 54.12 24352112676.1 0.218691067897 -1.0 iRemus 327 -1 iRomulus
13876351.0 36.87 36.69 10761971831.0 0.137462188991 -1.0 iRemus 327 -1 iRomulus
13875126.0 33.31 32.67 7116901408.45 0.108178137453 -1.0 iRemus 327 -1 iRomulus
13875884.0 40.68 55.1 31267605633.8 0.175151038627 -1.0 iRemus 327 -1 iRomulus
13876510.0 33.76 37.59 9139436619.72 0.315456515124 -1.0 iRemus 327 -1 iRomulus
13873413.0 33.97 35.66 8311267605.63 0.0842236056628 -1.0 iRemus 327 -1 iRomulus
13872570.0 33.89 34.47 5895774647.89 0.292735073148 -1.0 iRemus 327 -1 iRomulus
13873179.0 38.78 52.29 15605633802.8 0.180293287479 -1.0 iRemus 327 -1 iRomulus
13875852.0 37.7 53.41 15901408450.7 0.186367241916 -1.0 iRemus 327 -1 iRomulus
13876146.0 24.86 34.07 6225352112.68 0.15281012317 -1.0 iRemus 327 -1 iRomulus
13874881.0 29.9 39.78 7030985915.49 0.22183219718 -1.0 iRemus 327 -1 iRomulus
