ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
16823607.0 15.83 24.01 1386901408.45 0.273123435882 -1.0 iShaq 361 -1 iSerana
16823983.0 19.22 22.96 1677464788.73 0.184906784474 -1.0 iShaq 361 -1 iSerana
16824324.0 29.92 41.42 7836619718.31 0.200433227967 -1.0 iShaq 361 -1 iSerana
16824978.0 20.11 37.83 7077464788.73 0.0249969924793 -1.0 iShaq 361 -1 iSerana
16825340.0 21.85 24.32 2735211267.61 0.277865682359 -1.0 iShaq 361 -1 iSerana
16826562.0 19.83 21.02 2385915492.96 0.224358180011 -1.0 iShaq 361 -1 iSerana
16826583.0 22.6 23.57 3639436619.72 0.216131891779 -1.0 iShaq 361 -1 iSerana
16826828.0 24.62 38.84 5959154929.58 0.210460768252 -1.0 iShaq 361 -1 iSerana
16826909.0 24.83 26.72 1850704225.35 0.164734676339 -1.0 iShaq 361 -1 iSerana
16827207.0 19.89 21.91 2526760563.38 0.26166622717 -1.0 iShaq 361 -1 iSerana
16827224.0 18.78 20.5 1467605633.8 0.042617612098 -1.0 iShaq 361 -1 iSerana
16827311.0 27.96 29.48 4950704225.35 0.278104055885 -1.0 iShaq 361 -1 iSerana
16827359.0 24.1 24.93 1554929577.46 0.231349111146 -1.0 iShaq 361 -1 iSerana
16827538.0 35.8 41.26 7353521126.76 0.353128203447 -1.0 iShaq 361 -1 iSerana
16827643.0 27.54 40.28 9638028169.01 0.200141419452 -1.0 iShaq 361 -1 iSerana
16827768.0 26.37 33.49 4318309859.15 0.295747728487 -1.0 iShaq 361 -1 iSerana
16827883.0 21.76 24.78 1554929577.46 0.0782970123214 -1.0 iShaq 361 -1 iSerana
16827914.0 20.27 20.81 1364366197.18 0.252553207453 -1.0 iShaq 361 -1 iSerana
16827938.0 27.56 28.34 3505633802.82 0.301737546742 -1.0 iShaq 361 -1 iSerana
16828010.0 40.74 46.4 15042253521.1 0.335799607672 -1.0 iShaq 361 -1 iSerana
16828529.0 21.37 24.37 2069014084.51 0.257746373432 -1.0 iShaq 361 -1 iSerana
16828545.0 19.42 24.32 1470422535.21 0.155911681697 -1.0 iShaq 361 -1 iSerana
16828888.0 20.31 22.71 1766197183.1 0.354532230635 -1.0 iShaq 361 -1 iSerana
16829044.0 20.0 21.48 1328169014.08 0.275603177928 -1.0 iShaq 361 -1 iSerana
16829836.0 18.53 25.08 2039436619.72 0.0658210395253 -1.0 iShaq 361 -1 iSerana
16829856.0 33.53 41.67 8707042253.52 0.0598979046077 -1.0 iShaq 361 -1 iSerana
16829860.0 23.39 26.71 2677464788.73 0.0687405949276 -1.0 iShaq 361 -1 iSerana
16829892.0 19.54 19.65 1807042253.52 0.144919594778 -1.0 iShaq 361 -1 iSerana
16830024.0 19.83 36.1 4332394366.2 0.194395041746 -1.0 iShaq 361 -1 iSerana
16830152.0 18.34 25.21 1615492957.75 0.145301673337 -1.0 iShaq 361 -1 iSerana
16830368.0 19.33 30.26 4133802816.9 0.285864733578 -1.0 iShaq 361 -1 iSerana
16830374.0 21.29 22.59 2608450704.23 0.249155676398 -1.0 iShaq 361 -1 iSerana
16830463.0 26.74 30.79 2836619718.31 0.318987375059 -1.0 iShaq 361 -1 iSerana
16830556.0 24.56 25.34 1898591549.3 0.301670968342 -1.0 iShaq 361 -1 iSerana
16830841.0 25.57 30.13 2440845070.42 0.278616292924 -1.0 iShaq 361 -1 iSerana
16830990.0 23.51 30.39 2791549295.77 0.172883640705 -1.0 iShaq 361 -1 iSerana
16831380.0 18.02 27.42 1963380281.69 0.26199513943 -1.0 iShaq 361 -1 iSerana
16831527.0 19.54 25.76 1343098591.55 0.0522788177635 -1.0 iShaq 361 -1 iSerana
16831812.0 22.23 24.64 2522535211.27 0.135307419597 -1.0 iShaq 361 -1 iSerana
16831852.0 27.8 31.8 3928169014.08 0.27030699006 -1.0 iShaq 361 -1 iSerana
16831908.0 17.44 24.29 1305352112.68 0.0860900155398 -1.0 iShaq 361 -1 iSerana
16831927.0 21.0 28.68 2856338028.17 0.156172693949 -1.0 iShaq 361 -1 iSerana
16832154.0 25.56 37.98 3692957746.48 0.115098736324 -1.0 iShaq 361 -1 iSerana
16832237.0 20.82 22.11 1936619718.31 0.328741477662 -1.0 iShaq 361 -1 iSerana
16832354.0 27.74 28.33 3683098591.55 0.152881207344 -1.0 iShaq 361 -1 iSerana
16832746.0 24.78 31.21 3323943661.97 0.237553292865 -1.0 iShaq 361 -1 iSerana
16832748.0 14.46 25.75 1446478873.24 0.0855390471399 -1.0 iShaq 361 -1 iSerana
16832805.0 24.18 37.52 3529577464.79 0.242005545373 -1.0 iShaq 361 -1 iSerana
16832812.0 22.04 27.33 1863380281.69 0.0707837286586 -1.0 iShaq 361 -1 iSerana
16832825.0 22.1 36.97 4666197183.1 0.308236414727 -1.0 iShaq 361 -1 iSerana
16832828.0 15.49 23.82 1406901408.45 0.303274016267 -1.0 iShaq 361 -1 iSerana
16832847.0 16.96 24.38 1363661971.83 0.123256006934 -1.0 iShaq 361 -1 iSerana
16832852.0 25.75 27.91 3057746478.87 0.227561078909 -1.0 iShaq 361 -1 iSerana
16832938.0 21.97 24.98 1605633802.82 0.351906149573 -1.0 iShaq 361 -1 iSerana
16833141.0 26.63 29.68 3328169014.08 0.259819897794 -1.0 iShaq 361 -1 iSerana
16833193.0 30.13 37.62 6116901408.45 0.102434539846 -1.0 iShaq 361 -1 iSerana
16833201.0 20.69 26.63 2490140845.07 0.175592549116 -1.0 iShaq 361 -1 iSerana
16833232.0 21.06 34.17 2704225352.11 0.119480933681 -1.0 iShaq 361 -1 iSerana
16833235.0 27.04 46.39 23281690140.8 0.169868065541 -1.0 iShaq 361 -1 iSerana
16833267.0 17.16 28.74 1969014084.51 0.0609055336644 -1.0 iShaq 361 -1 iSerana
