ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
12767641.0 20.63 21.58 1740845070.42 0.351188462853 -1.0 iSilentBob 358 -1 iZeus
12768833.0 21.22 23.06 1702816901.41 0.134909753314 -1.0 iSilentBob 358 -1 iZeus
12769137.0 23.72 38.92 5553521126.76 0.202149047618 -1.0 iSilentBob 358 -1 iZeus
12769156.0 17.89 26.57 1726760563.38 0.0958659113643 -1.0 iSilentBob 358 -1 iZeus
12769200.0 30.03 31.16 5191549295.77 0.0661332760143 -1.0 iSilentBob 358 -1 iZeus
12769322.0 19.01 30.37 1554929577.46 0.043842382837 -1.0 iSilentBob 358 -1 iZeus
12769488.0 16.83 27.92 1618309859.15 0.156642077769 -1.0 iSilentBob 358 -1 iZeus
12769556.0 28.9 37.57 5347887323.94 0.215441039958 -1.0 iSilentBob 358 -1 iZeus
12769690.0 17.74 27.08 1454929577.46 0.0359414818978 -1.0 iSilentBob 358 -1 iZeus
12769745.0 37.17 52.55 20436619718.3 0.173793915128 -1.0 iSilentBob 358 -1 iZeus
12769961.0 16.7 21.66 1317464788.73 0.302922848482 -1.0 iSilentBob 358 -1 iZeus
12770337.0 20.74 22.57 1330422535.21 0.279640176739 -1.0 iSilentBob 358 -1 iZeus
12770719.0 28.03 29.55 3057746478.87 0.298667043672 -1.0 iSilentBob 358 -1 iZeus
12770724.0 16.94 27.04 1794366197.18 0.280703617944 -1.0 iSilentBob 358 -1 iZeus
12770864.0 17.74 25.62 1908450704.23 0.294439562594 -1.0 iSilentBob 358 -1 iZeus
12772195.0 16.37 24.74 1452112676.06 0.239376471733 -1.0 iSilentBob 358 -1 iZeus
12772268.0 28.87 50.03 14073239436.6 0.266902064736 -1.0 iSilentBob 358 -1 iZeus
12772297.0 24.39 34.03 4549295774.65 0.108818051716 -1.0 iSilentBob 358 -1 iZeus
12772305.0 16.61 31.85 2333802816.9 0.132844035584 -1.0 iSilentBob 358 -1 iZeus
12772315.0 26.02 29.18 2322535211.27 0.216059537777 -1.0 iSilentBob 358 -1 iZeus
12772445.0 20.64 37.48 7046478873.24 0.145825614687 -1.0 iSilentBob 358 -1 iZeus
12772454.0 40.26 56.86 15521126760.6 0.13102127722 -1.0 iSilentBob 358 -1 iZeus
12772959.0 15.68 25.17 1960563380.28 0.182437522221 -1.0 iSilentBob 358 -1 iZeus
12773127.0 20.78 26.78 2033802816.9 0.117526080034 -1.0 iSilentBob 358 -1 iZeus
12773463.0 23.26 24.14 1594366197.18 0.337188425246 -1.0 iSilentBob 358 -1 iZeus
12773587.0 27.26 39.03 5454929577.46 0.0835390404275 -1.0 iSilentBob 358 -1 iZeus
12773778.0 17.26 20.46 1535211267.61 0.302787774885 -1.0 iSilentBob 358 -1 iZeus
12773801.0 17.92 29.11 4336619718.31 0.160956613848 -1.0 iSilentBob 358 -1 iZeus
12774098.0 19.83 30.93 1829577464.79 0.109090734417 -1.0 iSilentBob 358 -1 iZeus
12774241.0 21.9 22.09 1569014084.51 0.257708487156 -1.0 iSilentBob 358 -1 iZeus
12774250.0 14.41 39.08 3691549295.77 0.235689103064 -1.0 iSilentBob 358 -1 iZeus
12774253.0 39.17 46.58 10553521126.8 0.255756447513 -1.0 iSilentBob 358 -1 iZeus
12774420.0 44.82 54.06 13387323943.7 0.102538805849 -1.0 iSilentBob 358 -1 iZeus
12774422.0 17.55 36.94 3576056338.03 0.13151209852 -1.0 iSilentBob 358 -1 iZeus
12774512.0 28.56 32.4 2877464788.73 0.347530632274 -1.0 iSilentBob 358 -1 iZeus
12774629.0 21.7 25.47 1646478873.24 0.3193429642 -1.0 iSilentBob 358 -1 iZeus
12774705.0 27.48 43.92 5142253521.13 0.292279960114 -1.0 iSilentBob 358 -1 iZeus
12774709.0 19.17 26.11 2015492957.75 0.0591479556587 -1.0 iSilentBob 358 -1 iZeus
12774773.0 26.57 28.92 2145070422.54 0.177654105369 -1.0 iSilentBob 358 -1 iZeus
12774793.0 19.72 23.82 2785915492.96 0.199399153997 -1.0 iSilentBob 358 -1 iZeus
12774796.0 21.77 22.26 1561971830.99 0.333569833116 -1.0 iSilentBob 358 -1 iZeus
12775125.0 27.95 37.58 7030985915.49 0.263959255556 -1.0 iSilentBob 358 -1 iZeus
12775188.0 20.04 22.16 1303098591.55 0.294048566081 -1.0 iSilentBob 358 -1 iZeus
12775234.0 25.53 30.12 2525352112.68 0.127062565129 -1.0 iSilentBob 358 -1 iZeus
12775844.0 28.43 28.6 4360563380.28 0.209024673719 -1.0 iSilentBob 358 -1 iZeus
12776052.0 22.76 25.14 2312676056.34 0.109788028618 -1.0 iSilentBob 358 -1 iZeus
12776359.0 32.03 46.73 7414084507.04 0.153681371983 -1.0 iSilentBob 358 -1 iZeus
12776381.0 17.16 22.88 1389718309.86 0.31889559843 -1.0 iSilentBob 358 -1 iZeus
12776400.0 32.01 45.13 16450704225.4 0.298959030445 -1.0 iSilentBob 358 -1 iZeus
12777076.0 20.43 25.76 2807042253.52 0.256613752037 -1.0 iSilentBob 358 -1 iZeus
12777264.0 24.87 28.11 3156338028.17 0.204205086416 -1.0 iSilentBob 358 -1 iZeus
12777360.0 19.34 21.71 1492957746.48 0.354861048046 -1.0 iSilentBob 358 -1 iZeus
12777549.0 20.51 20.37 1343380281.69 0.254196539275 -1.0 iSilentBob 358 -1 iZeus
12777940.0 19.74 24.89 2071830985.92 0.226734764082 -1.0 iSilentBob 358 -1 iZeus
12778366.0 25.89 27.97 3550704225.35 0.353089601958 -1.0 iSilentBob 358 -1 iZeus
12778546.0 16.43 29.29 2843661971.83 0.281859877383 -1.0 iSilentBob 358 -1 iZeus
12778615.0 17.08 21.58 1467605633.8 0.29598997494 -1.0 iSilentBob 358 -1 iZeus
12778635.0 30.06 46.03 13195774647.9 0.313528227461 -1.0 iSilentBob 358 -1 iZeus
