ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
7562791.0 20.7 25.39 1422535211.27 0.227931109236 -1.0 iSonny 321 -1 iHamilton
7562815.0 23.52 32.43 1435211267.61 0.254654917795 -1.0 iSonny 321 -1 iHamilton
7563121.0 24.81 24.9 2611267605.63 0.274640346953 -1.0 iSonny 321 -1 iHamilton
7563429.0 25.59 27.43 2388732394.37 0.170024734772 -1.0 iSonny 321 -1 iHamilton
7564066.0 24.15 34.69 3984507042.25 0.303881504302 -1.0 iSonny 321 -1 iHamilton
7564726.0 18.99 34.1 2890140845.07 0.0405451494634 -1.0 iSonny 321 -1 iHamilton
7565207.0 26.12 33.56 2807042253.52 0.240305785328 -1.0 iSonny 321 -1 iHamilton
7565444.0 18.43 25.0 2129577464.79 0.275225873947 -1.0 iSonny 321 -1 iHamilton
7565891.0 19.85 25.02 1495774647.89 0.051042848145 -1.0 iSonny 321 -1 iHamilton
7566480.0 19.88 31.52 2070422535.21 0.231850093337 -1.0 iSonny 321 -1 iHamilton
7567029.0 18.55 23.69 1430985915.49 0.308103097271 -1.0 iSonny 321 -1 iHamilton
7567115.0 22.46 24.08 1754929577.46 0.298231344653 -1.0 iSonny 321 -1 iHamilton
7567178.0 11.67 24.51 1396901408.45 0.141115564201 -1.0 iSonny 321 -1 iHamilton
7567336.0 11.12 35.08 2969014084.51 0.121019134137 -1.0 iSonny 321 -1 iHamilton
7567337.0 19.67 38.67 6491549295.77 0.254744199582 -1.0 iSonny 321 -1 iHamilton
7567338.0 23.07 34.97 4236619718.31 0.236116854154 -1.0 iSonny 321 -1 iHamilton
7567422.0 15.54 32.14 3136619718.31 0.0312988233958 -1.0 iSonny 321 -1 iHamilton
7567540.0 17.01 29.84 2863380281.69 0.227786184663 -1.0 iSonny 321 -1 iHamilton
7567700.0 15.25 26.99 1774647887.32 0.252540251947 -1.0 iSonny 321 -1 iHamilton
7567854.0 27.83 39.58 4794366197.18 0.0866108377447 -1.0 iSonny 321 -1 iHamilton
7567881.0 13.2 23.58 1495774647.89 0.104384770543 -1.0 iSonny 321 -1 iHamilton
7568085.0 45.84 44.02 18521126760.6 0.248584730386 -1.0 iSonny 321 -1 iHamilton
7568332.0 14.26 35.83 3267605633.8 0.149923233018 -1.0 iSonny 321 -1 iHamilton
7568458.0 14.37 25.68 1821126760.56 0.233495707854 -1.0 iSonny 321 -1 iHamilton
7568481.0 16.5 50.25 12374647887.3 0.0877931826966 -1.0 iSonny 321 -1 iHamilton
7568556.0 31.5 32.01 5128169014.08 0.303279149647 -1.0 iSonny 321 -1 iHamilton
7568580.0 23.79 33.56 5081690140.85 0.247604812606 -1.0 iSonny 321 -1 iHamilton
7568699.0 25.02 26.9 1973239436.62 0.284756578965 -1.0 iSonny 321 -1 iHamilton
7569125.0 26.77 30.67 4483098591.55 0.304125555489 -1.0 iSonny 321 -1 iHamilton
7569622.0 27.58 27.53 3325352112.68 0.271774569786 -1.0 iSonny 321 -1 iHamilton
7569794.0 22.06 25.66 1770422535.21 0.258647699418 -1.0 iSonny 321 -1 iHamilton
7569819.0 26.46 35.25 5038028169.01 0.274716233822 -1.0 iSonny 321 -1 iHamilton
7569976.0 37.9 38.29 10749295774.6 0.291283649135 -1.0 iSonny 321 -1 iHamilton
7570020.0 15.91 29.99 3135211267.61 0.107525971545 -1.0 iSonny 321 -1 iHamilton
7570044.0 20.74 51.54 9812676056.34 0.173906769766 -1.0 iSonny 321 -1 iHamilton
7570113.0 31.94 32.52 4535211267.61 0.248969615955 -1.0 iSonny 321 -1 iHamilton
