ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
12533971.0 46.1 46.29 20492957746.5 0.254339004286 -1.0 iTennille 342 -1 iRoy
12538278.0 58.7 62.53 39521126760.6 0.325605679801 -1.0 iTennille 342 -1 iRoy
12539117.0 40.03 48.64 12692957746.5 0.067960502024 -1.0 iTennille 342 -1 iRoy
12539395.0 39.08 41.73 11709859154.9 0.134181372574 -1.0 iTennille 342 -1 iRoy
12539655.0 29.51 43.39 7947887323.94 0.273074119802 -1.0 iTennille 342 -1 iRoy
12539794.0 35.94 38.73 9064788732.39 0.230701524086 -1.0 iTennille 342 -1 iRoy
12540188.0 31.5 36.67 5708450704.23 0.286501334516 -1.0 iTennille 342 -1 iRoy
12540236.0 42.03 44.59 12149295774.6 0.206438194214 -1.0 iTennille 342 -1 iRoy
12540531.0 33.31 42.03 12187323943.7 0.214641990049 -1.0 iTennille 342 -1 iRoy
12540840.0 37.42 43.21 8200000000.0 0.167516177453 -1.0 iTennille 342 -1 iRoy
12541414.0 47.07 58.72 26535211267.6 0.129475754632 -1.0 iTennille 342 -1 iRoy
