ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
21255855.0 26.8 37.67 6753521126.76 0.195134052774 -1.0 iTom 349 -1 iKek
21256643.0 38.96 40.04 7649295774.65 0.335538659805 -1.0 iTom 349 -1 iKek
21256772.0 38.0 45.56 8707042253.52 0.113915593959 -1.0 iTom 349 -1 iKek
21261300.0 31.52 46.57 9357746478.87 0.265415230524 -1.0 iTom 349 -1 iKek
21262012.0 25.83 40.7 6698591549.3 0.195442516933 -1.0 iTom 349 -1 iKek
21262145.0 48.91 46.87 21000000000.0 0.192622595231 -1.0 iTom 349 -1 iKek
21262322.0 50.97 60.42 40760563380.3 0.262350227249 -1.0 iTom 349 -1 iKek
21262373.0 57.85 57.85 48985915493.0 0.291156919402 -1.0 iTom 349 -1 iKek
21262407.0 29.4 31.28 7497183098.59 0.185356779983 -1.0 iTom 349 -1 iKek
21262419.0 28.99 31.11 7529577464.79 0.124485264331 -1.0 iTom 349 -1 iKek
21262450.0 47.89 70.53 37830985915.5 0.125554264123 -1.0 iTom 349 -1 iKek
