ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
21254714.0 16.76 20.49 1295633802.82 0.176154765162 -1.0 iTom 349 -1 iKek
21255851.0 19.92 29.32 1801408450.7 0.215474840903 -1.0 iTom 349 -1 iKek
21255855.0 26.8 37.67 6753521126.76 0.195134052774 -1.0 iTom 349 -1 iKek
21256643.0 38.96 40.04 7649295774.65 0.335538659805 -1.0 iTom 349 -1 iKek
21256767.0 28.26 29.42 2400000000.0 0.328179735967 -1.0 iTom 349 -1 iKek
21256772.0 38.0 45.56 8707042253.52 0.113915593959 -1.0 iTom 349 -1 iKek
21257245.0 22.06 31.14 2885915492.96 0.199758609534 -1.0 iTom 349 -1 iKek
21257594.0 23.08 27.35 3726760563.38 0.199936471263 -1.0 iTom 349 -1 iKek
21258055.0 17.62 25.71 1954929577.46 0.156415066034 -1.0 iTom 349 -1 iKek
21258189.0 20.2 29.4 2039436619.72 0.1206357868 -1.0 iTom 349 -1 iKek
21258578.0 26.15 26.13 3257746478.87 0.332605401198 -1.0 iTom 349 -1 iKek
21258669.0 14.61 30.4 1477464788.73 0.070371553377 -1.0 iTom 349 -1 iKek
21258891.0 18.13 19.51 1509859154.93 0.161774253653 -1.0 iTom 349 -1 iKek
21259206.0 20.62 34.23 1849295774.65 0.0690678232859 -1.0 iTom 349 -1 iKek
21259263.0 24.73 25.99 3402816901.41 0.235205440174 -1.0 iTom 349 -1 iKek
21259653.0 22.63 22.93 1818309859.15 0.18730984168 -1.0 iTom 349 -1 iKek
21259956.0 16.65 26.96 1363802816.9 0.205011500009 -1.0 iTom 349 -1 iKek
21260054.0 27.47 31.11 4345070422.54 0.167883992428 -1.0 iTom 349 -1 iKek
21260155.0 22.18 37.52 5271830985.92 0.1342545089 -1.0 iTom 349 -1 iKek
21260209.0 19.61 22.04 1350422535.21 0.19158780371 -1.0 iTom 349 -1 iKek
21260547.0 24.77 26.32 3578873239.44 0.21549515142 -1.0 iTom 349 -1 iKek
21260628.0 17.0 22.96 1439436619.72 0.270608393071 -1.0 iTom 349 -1 iKek
21261031.0 12.35 35.12 2663380281.69 0.165134192484 -1.0 iTom 349 -1 iKek
21261210.0 22.6 36.25 4929577464.79 0.158274667784 -1.0 iTom 349 -1 iKek
21261218.0 18.95 22.62 1364788732.39 0.128970785833 -1.0 iTom 349 -1 iKek
21261230.0 19.38 38.77 4705633802.82 0.0891277721582 -1.0 iTom 349 -1 iKek
21261283.0 24.61 35.31 3569014084.51 0.259420357797 -1.0 iTom 349 -1 iKek
21261300.0 31.52 46.57 9357746478.87 0.265415230524 -1.0 iTom 349 -1 iKek
21261495.0 24.83 24.75 2477464788.73 0.186482418268 -1.0 iTom 349 -1 iKek
21261571.0 21.91 36.69 4961971830.99 0.19293841838 -1.0 iTom 349 -1 iKek
21261596.0 16.73 22.87 1376619718.31 0.305133432493 -1.0 iTom 349 -1 iKek
21262012.0 25.83 40.7 6698591549.3 0.195442516933 -1.0 iTom 349 -1 iKek
21262144.0 21.01 23.21 1440845070.42 0.189775495632 -1.0 iTom 349 -1 iKek
21262145.0 48.91 46.87 21000000000.0 0.192622595231 -1.0 iTom 349 -1 iKek
21262222.0 20.77 25.4 1859154929.58 0.308819666459 -1.0 iTom 349 -1 iKek
21262238.0 22.13 22.79 1450704225.35 0.280156418321 -1.0 iTom 349 -1 iKek
21262342.0 28.93 33.69 4845070422.54 0.133096206849 -1.0 iTom 349 -1 iKek
21262371.0 18.38 19.3 1702816901.41 0.29254094029 -1.0 iTom 349 -1 iKek
21262407.0 29.4 31.28 7497183098.59 0.185356779983 -1.0 iTom 349 -1 iKek
21262419.0 28.99 31.11 7529577464.79 0.124485264331 -1.0 iTom 349 -1 iKek
21262426.0 22.08 30.88 2181690140.85 0.21405286321 -1.0 iTom 349 -1 iKek
21262445.0 15.94 23.63 1491549295.77 0.0435721884694 -1.0 iTom 349 -1 iKek
21262481.0 19.23 33.57 4680281690.14 0.050706394711 -1.0 iTom 349 -1 iKek
