ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
10061185.0 20.96 20.71 1501408450.7 0.292578140774 -1.0 itheCaptain 349 -1 iSiegfried
10061348.0 29.15 44.98 5922535211.27 0.16914170182 -1.0 itheCaptain 349 -1 iSiegfried
10061383.0 16.9 26.4 1412676056.34 0.0323321325047 -1.0 itheCaptain 349 -1 iSiegfried
10061512.0 14.43 28.74 1509859154.93 0.0270844923938 -1.0 itheCaptain 349 -1 iSiegfried
10061691.0 13.94 25.11 1376619718.31 0.045299564956 -1.0 itheCaptain 349 -1 iSiegfried
10061973.0 20.18 23.65 1833802816.9 0.277018477824 -1.0 itheCaptain 349 -1 iSiegfried
10061998.0 39.01 57.43 15788732394.4 0.196379990767 -1.0 itheCaptain 349 -1 iSiegfried
10062124.0 16.45 26.18 1536619718.31 0.151121137813 -1.0 itheCaptain 349 -1 iSiegfried
10062183.0 18.89 18.97 1795774647.89 0.161067163705 -1.0 itheCaptain 349 -1 iSiegfried
10062319.0 54.57 60.2 29957746478.9 0.270867383889 -1.0 itheCaptain 349 -1 iSiegfried
10062322.0 22.65 27.9 2519718309.86 0.280703143394 -1.0 itheCaptain 349 -1 iSiegfried
10062627.0 17.27 39.16 3497183098.59 0.21835833946 -1.0 itheCaptain 349 -1 iSiegfried
10062898.0 41.32 53.61 17507042253.5 0.0692801282004 -1.0 itheCaptain 349 -1 iSiegfried
10063169.0 35.16 42.1 10121126760.6 0.341121903933 -1.0 itheCaptain 349 -1 iSiegfried
10063398.0 22.48 33.26 2435211267.61 0.112834885416 -1.0 itheCaptain 349 -1 iSiegfried
10064010.0 21.87 24.71 3169014084.51 0.230390657769 -1.0 itheCaptain 349 -1 iSiegfried
10064110.0 26.45 31.41 3569014084.51 0.11903890982 -1.0 itheCaptain 349 -1 iSiegfried
10064113.0 24.37 31.88 4016901408.45 0.093217260458 -1.0 itheCaptain 349 -1 iSiegfried
10064355.0 18.24 21.71 1310704225.35 0.315411190989 -1.0 itheCaptain 349 -1 iSiegfried
10064387.0 20.35 28.58 1560563380.28 0.15953109914 -1.0 itheCaptain 349 -1 iSiegfried
10064617.0 24.76 37.42 4723943661.97 0.0962605940346 -1.0 itheCaptain 349 -1 iSiegfried
10064669.0 16.05 27.07 2388732394.37 0.0509321520289 -1.0 itheCaptain 349 -1 iSiegfried
10064871.0 19.02 27.6 2033802816.9 0.298826379887 -1.0 itheCaptain 349 -1 iSiegfried
10064877.0 24.27 39.54 7616901408.45 0.171866508681 -1.0 itheCaptain 349 -1 iSiegfried
10064893.0 32.2 44.36 6415492957.75 0.127014070451 -1.0 itheCaptain 349 -1 iSiegfried
10065220.0 21.9 25.21 1430985915.49 0.130693808776 -1.0 itheCaptain 349 -1 iSiegfried
10065570.0 29.23 40.41 7698591549.3 0.238346616301 -1.0 itheCaptain 349 -1 iSiegfried
10066048.0 19.83 22.87 1388873239.44 0.240152388719 -1.0 itheCaptain 349 -1 iSiegfried
10066058.0 15.77 20.46 1464788732.39 0.323798565791 -1.0 itheCaptain 349 -1 iSiegfried
10066101.0 36.68 45.05 7350704225.35 0.0285164837118 -1.0 itheCaptain 349 -1 iSiegfried
10066297.0 44.55 56.6 18901408450.7 0.1178904336 -1.0 itheCaptain 349 -1 iSiegfried
10066342.0 18.41 25.02 1378028169.01 0.187026516498 -1.0 itheCaptain 349 -1 iSiegfried
10066507.0 23.67 27.5 2295774647.89 0.206910307674 -1.0 itheCaptain 349 -1 iSiegfried
10066535.0 22.99 25.75 2305633802.82 0.307558306799 -1.0 itheCaptain 349 -1 iSiegfried
10066798.0 19.9 28.35 2526760563.38 0.22057352656 -1.0 itheCaptain 349 -1 iSiegfried
10066799.0 36.18 47.24 8674647887.32 0.24768236325 -1.0 itheCaptain 349 -1 iSiegfried
10066966.0 25.53 38.44 8339436619.72 0.153179012787 -1.0 itheCaptain 349 -1 iSiegfried
10067168.0 23.7 27.32 2554929577.46 0.299029281523 -1.0 itheCaptain 349 -1 iSiegfried
10067217.0 22.55 40.25 5994366197.18 0.137434609075 -1.0 itheCaptain 349 -1 iSiegfried
10067449.0 26.3 31.21 1961971830.99 0.0712584013986 -1.0 itheCaptain 349 -1 iSiegfried
10067737.0 14.17 28.63 1797183098.59 0.178916846187 -1.0 itheCaptain 349 -1 iSiegfried
10067891.0 37.9 52.29 17971830985.9 0.242240393519 -1.0 itheCaptain 349 -1 iSiegfried
10067934.0 19.65 37.3 3011267605.63 0.144699373697 -1.0 itheCaptain 349 -1 iSiegfried
10067991.0 13.93 21.43 1355211267.61 0.255071792096 -1.0 itheCaptain 349 -1 iSiegfried
10067994.0 15.93 22.94 1863380281.69 0.271714689419 -1.0 itheCaptain 349 -1 iSiegfried
10068166.0 19.52 29.29 1801408450.7 0.129851352459 -1.0 itheCaptain 349 -1 iSiegfried
10068811.0 26.01 37.5 5471830985.92 0.201525381205 -1.0 itheCaptain 349 -1 iSiegfried
10068912.0 25.29 24.6 3818309859.15 0.240395786362 -1.0 itheCaptain 349 -1 iSiegfried
10069034.0 24.85 32.12 6005633802.82 0.155599303422 -1.0 itheCaptain 349 -1 iSiegfried
10069102.0 22.68 34.34 5959154929.58 0.179839821057 -1.0 itheCaptain 349 -1 iSiegfried
10069111.0 22.97 46.36 7190140845.07 0.189072999886 -1.0 itheCaptain 349 -1 iSiegfried
10069124.0 19.98 30.63 1430985915.49 0.1972528257 -1.0 itheCaptain 349 -1 iSiegfried
10069143.0 17.5 33.89 2271830985.92 0.162127785911 -1.0 itheCaptain 349 -1 iSiegfried
10069211.0 31.34 38.2 8369014084.51 0.297348442089 -1.0 itheCaptain 349 -1 iSiegfried
