ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
64556343.0 47.14 63.46 30098591549.3 0.971486988005 0.163076778565 theCaptainTennille 337 336 Siegfried&Roy
64556478.0 39.5 39.84 11322535211.3 0.750451058043 0.197265583351 theCaptainTennille 337 336 Siegfried&Roy
64556501.0 30.61 62.53 41492957746.5 0.812324658205 0.204954059812 theCaptainTennille 337 336 Siegfried&Roy
64556509.0 35.66 47.04 12269014084.5 0.92750981753 0.174140563699 theCaptainTennille 337 336 Siegfried&Roy
64556519.0 33.13 70.69 44859154929.6 0.906800961913 0.110213119725 theCaptainTennille 337 336 Siegfried&Roy
64778489.0 40.96 45.93 13116901408.5 0.185475579624 0.988576200796 theCaptainTennille 337 336 Siegfried&Roy
64779943.0 39.89 43.96 9063380281.69 0.731624492168 0.276088323456 theCaptainTennille 337 336 Siegfried&Roy
64780250.0 34.34 41.6 10918309859.2 1.0210969307 0.183107946132 theCaptainTennille 337 336 Siegfried&Roy
64783228.0 47.27 64.72 43338028169.0 0.283760663 0.76492190408 theCaptainTennille 337 336 Siegfried&Roy
64787291.0 49.35 55.96 31140845070.4 0.136645569647 0.929568314296 theCaptainTennille 337 336 Siegfried&Roy
64788072.0 31.12 45.51 11321126760.6 0.135331171161 0.827758980367 theCaptainTennille 337 336 Siegfried&Roy
64788865.0 43.16 60.04 47661971831.0 0.246994514555 0.664038647319 theCaptainTennille 337 336 Siegfried&Roy
64788916.0 58.17 60.38 29605633802.8 0.332121241333 0.795536624131 theCaptainTennille 337 336 Siegfried&Roy
64789319.0 25.97 38.26 7271830985.92 0.179775178649 1.02814279158 theCaptainTennille 337 336 Siegfried&Roy
64789370.0 28.29 33.55 5780281690.14 0.165099526348 0.989438128313 theCaptainTennille 337 336 Siegfried&Roy
64789651.0 62.34 72.99 59338028169.0 0.0624742930667 0.892312998007 theCaptainTennille 337 336 Siegfried&Roy
64789684.0 46.79 58.08 15563380281.7 0.137770156236 0.912856235692 theCaptainTennille 337 336 Siegfried&Roy
