ID Vmax(km/s) Vpeak(km/s) Mpeak(Msun) h1dist(Mpc) h2dist(Mpc) HostName R1vir(kpc) R2vir(kpc) ELVISname
64551248.0 22.06 24.14 1676056338.03 0.803934300828 0.159434906426 theCaptainTennille 337 336 Siegfried&Roy
64552096.0 22.99 24.33 1716901408.45 1.03225487932 0.293289163161 theCaptainTennille 337 336 Siegfried&Roy
64552206.0 15.24 27.99 1377183098.59 0.937335078081 0.0890965621193 theCaptainTennille 337 336 Siegfried&Roy
64552792.0 10.01 28.44 1315211267.61 0.900722033213 0.127948516414 theCaptainTennille 337 336 Siegfried&Roy
64552956.0 17.16 29.91 1925352112.68 0.985283981853 0.203246205952 theCaptainTennille 337 336 Siegfried&Roy
64555135.0 19.36 34.36 2697183098.59 0.888978447335 0.297265933986 theCaptainTennille 337 336 Siegfried&Roy
64555331.0 22.14 27.33 2211267605.63 1.02853581292 0.15493743514 theCaptainTennille 337 336 Siegfried&Roy
64555685.0 22.28 24.64 1473239436.62 0.869979036474 0.26880547955 theCaptainTennille 337 336 Siegfried&Roy
64555755.0 19.4 31.18 2359154929.58 0.929287328495 0.129733902811 theCaptainTennille 337 336 Siegfried&Roy
64555877.0 13.28 22.86 1546478873.24 0.991351385298 0.126742980784 theCaptainTennille 337 336 Siegfried&Roy
64555878.0 21.18 27.4 1577464788.73 1.08278893218 0.215434031343 theCaptainTennille 337 336 Siegfried&Roy
64555968.0 20.88 24.5 1295633802.82 1.13950004063 0.299261380625 theCaptainTennille 337 336 Siegfried&Roy
64556042.0 25.51 29.3 2111267605.63 0.892907777737 0.0995620652674 theCaptainTennille 337 336 Siegfried&Roy
64556217.0 18.56 26.31 1387605633.8 0.845551489599 0.226222973553 theCaptainTennille 337 336 Siegfried&Roy
64556343.0 47.14 63.46 30098591549.3 0.971486988005 0.163076778565 theCaptainTennille 337 336 Siegfried&Roy
64556347.0 23.17 29.83 2774647887.32 0.867063564885 0.065654933732 theCaptainTennille 337 336 Siegfried&Roy
